Family,Genus,SubGenus,Species,SubSpecies,ReproStrat,Sociality,NestLoc,Excavate,Lecty,Wood,FireKill,Notes,Reference
Andrenidae,Andrena,Andrena,birtwelli,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Andrena,ceanothifloris,cretata,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Andrena,cerasifolii,,free living,solitary,below,ex,polylectic,no,no,,
Andrenidae,Andrena,Andrena,chapmanae,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Andrena,edwardsi,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Andrena,nigrocaerulea,,free living,solitary,below,ex,polylectic,no,no,,
Andrenidae,Andrena,Andrena,scutellinitens,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Dactylandrena,porterae,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Diandrena,nothocalaidis,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Euandrena,hamulata,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Euandrena,segregans,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Micrandrena,candidiformis,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Onagrandrena,vanduzeei,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Thysandrena,knuthiana,,free living,solitary,below,ex,polylectic,no,no,,
Andrenidae,Andrena,Thysandrena,medionitens,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Thysandrena,w-scripta,,free living,solitary,below,ex,polylectic,no,no,,
Andrenidae,Andrena,Trachandrena,cleodora,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,Trachandrena,quintiliformis,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,,sp.,a,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Andrena,,sp.,b,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Calliopsis,Nomadopsis,edwardsii,,free living,solitary,below,ex,NA,no,no,,
Andrenidae,Perdita,,sp.,a.,free living,solitary,below,ex,NA,no,no,,
Apidae,Anthophora,Clisodon,terminalis,,free living,solitary,above,ex,polylectic,yes,yes,,
Apidae,Anthophora,Heliophila,exigua,,free living,solitary,below,ex,polylectic,no,no,,
Apidae,Anthophora,Heliophila,flexipes,,free living,solitary,below,ex,polylectic,no,no,,
Apidae,Anthophora,Mystacanthophora,urbana,,free living,solitary,below,ex,polylectic,no,no,,
Apidae,Apis,Apis,mellifera,,free living,social,mix,rent,polylectic,yes,yes,,
Apidae,Bombus,Bombus,bifarius,,free living,social,mix,rent,polylectic,yes,yes,,
Apidae,Bombus,Bombus,melanopygus,,free living,social,mix,rent,polylectic,yes,yes,,
Apidae,Bombus,Bombus,mixtus,,free living,social,mix,rent,NA,yes,yes,,
Apidae,Bombus,Bombus,vandykei,,free living,social,mix,rent,polylectic,yes,yes,,
Apidae,Bombus,Bombus,vosnesenskii,,free living,social,below,rent,polylectic,no,yes,check with Robbin,
Apidae,Bombus,Psithyrus,fernaldae,,parasite,solitary,mix,rent,NA,yes,yes,,
Apidae,Bombus,Psithyrus,insularis,,parasite,solitary,mix,rent,NA,yes,yes,,
Apidae,Bombus,Pyrobombus,flavifrons,,free living,social,mix,rent,NA,yes,yes,,
Apidae,Ceratina,Zadontomerus,nanula,,free living,solitary,above,ex,polylectic,no,no,,
Apidae,Epeolus,,sp.,a,parasite,solitary,below,rent,NA,no,no,,
Apidae,Melissodes,Eumelissodes,micheneri,,free living,solitary,below,ex,NA,no,no,,
Apidae,Melissodes,Eumelissodes,microsticta,,free living,solitary,below,ex,NA,no,no,,
Apidae,Nomada,,sp.,a,parasite,solitary,below,rent,NA,no,no,,
Apidae,Nomada,,sp.,b,parasite,solitary,below,rent,NA,no,no,,
Apidae,Nomada,,sp.,c,parasite,solitary,below,rent,NA,no,no,,
Apidae,Triepeolus,,sp.,a,parasite,solitary,below,rent,NA,no,no,,
Apidae,Xeromelecta,Melectomorpha,californica,,parasite,solitary,below,rent,parasite,no,no,,
