"Family","Genus","SubGenus","Species","SubSpecies","Sociality","NestLoc","Excavate","Lecty","Wood","FireKill","Notes","Reference","GenusSpecies","PolSpec","PolSpec.2013","PolSpec.2014","YoseSpec"
"Andrenidae","Andrena","Andrena","birtwelli","","solitary","below","ex",NA,"no","no","","","Andrena birtwelli",0.219146790672622,0.24380683884102,0.142935640538372,0.333985278048126
"Andrenidae","Andrena","Andrena","ceanothifloris","cretata","solitary","below","ex",NA,"no","no","","","Andrena ceanothifloris cretata",0.493357990446825,0.534632774402393,0.436951551045378,0.344184461043876
"Andrenidae","Andrena","Andrena","cerasifolii","","solitary","below","ex","polylectic","no","no","","","Andrena cerasifolii",0.187082678915766,NA,0.142935640538372,0.650521525424952
"Andrenidae","Andrena","Andrena","chapmanae","","solitary","below","ex",NA,"no","no","","","Andrena chapmanae",0.42738117624433,NA,0.578010102584656,0.406388099741562
"Andrenidae","Andrena","Andrena","edwardsi","","solitary","below","ex",NA,"no","no","","","Andrena edwardsi",0.51610636331344,0.563390594049735,0.461691548617538,0.441743213150232
"Andrenidae","Andrena","Andrena","nigrocaerulea","","solitary","below","ex","polylectic","no","no","","","Andrena nigrocaerulea",0.229928247421552,0.209078429833801,NA,0.378695980676799
"Andrenidae","Andrena","Andrena","scutellinitens","","solitary","below","ex",NA,"no","no","","","Andrena scutellinitens",0.240879994349498,0.21342762249976,NA,0.298299236410987
"Andrenidae","Andrena","Dactylandrena","porterae","","solitary","below","ex",NA,"no","no","","","Andrena porterae",0.661724281441164,NA,0.611153491549548,0.449179638546406
"Andrenidae","Andrena","Diandrena","nothocalaidis","","solitary","below","ex",NA,"no","no","","","Andrena nothocalaidis",NA,NA,NA,0.740843885851672
"Andrenidae","Andrena","Euandrena","hamulata","","solitary","below","ex",NA,"no","no","","","Andrena hamulata",0.647722141126186,NA,0.628946131989521,0.938223489504119
"Andrenidae","Andrena","Euandrena","segregans","","solitary","below","ex",NA,"no","no","","","Andrena segregans",NA,NA,NA,NA
"Andrenidae","Andrena","Micrandrena","candidiformis","","solitary","below","ex",NA,"no","no","","","Andrena candidiformis",0.187082678915766,0.277645992340577,NA,0.515803085705714
"Andrenidae","Andrena","Onagrandrena","vanduzeei","","solitary","below","ex",NA,"no","no","","","Andrena vanduzeei",0.300106785136084,0.331781926032549,0.37698818379576,0.449179638546406
