"GenusSpecies","Abund","Occ","Site","Date","Genus","Year","SiteStatus","FirePerim","Sociality","NestLoc","Excavate","Lecty","Wood","FireKill","PolSpec","YoseSpec","HBabund","doy"
"Osmia montana quadriceps",19,1,"L21",2013-06-26,"Osmia","2013","MOD","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,6,177
"Osmia montana quadriceps",7,1,"L21",2013-07-13,"Osmia","2013","MOD","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,3,194
"Osmia montana quadriceps",12,1,"L21",2013-07-17,"Osmia","2013","MOD","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,9,198
"Osmia montana quadriceps",4,1,"L21",2013-07-30,"Osmia","2013","MOD","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,10,211
"Osmia montana quadriceps",0,0,"L24",2013-06-27,"Osmia","2013","HIGH","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,3,178
"Osmia montana quadriceps",0,0,"L24",2013-07-13,"Osmia","2013","HIGH","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,5,194
"Osmia montana quadriceps",0,0,"L24",2013-07-18,"Osmia","2013","HIGH","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,19,199
"Osmia montana quadriceps",0,0,"L24",2013-07-31,"Osmia","2013","HIGH","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,21,212
"Osmia montana quadriceps",4,1,"L33",2013-06-29,"Osmia","2013","LOW","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,0,180
"Osmia montana quadriceps",0,0,"L33",2013-07-13,"Osmia","2013","LOW","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,13,194
"Osmia montana quadriceps",0,0,"L33",2013-07-19,"Osmia","2013","LOW","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,26,200
"Osmia montana quadriceps",0,0,"L33",2013-07-31,"Osmia","2013","LOW","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,3,212
"Osmia montana quadriceps",0,0,"L35",2013-06-27,"Osmia","2013","MOD","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,0,178
"Osmia montana quadriceps",0,0,"L35",2013-07-13,"Osmia","2013","MOD","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,0,194
"Osmia montana quadriceps",0,0,"L35",2013-07-18,"Osmia","2013","MOD","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,2,199
"Osmia montana quadriceps",0,0,"L35",2013-07-29,"Osmia","2013","MOD","Hoover","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,21,210
"Osmia montana quadriceps",0,0,"N131",2013-06-30,"Osmia","2013","LOW","Meadow","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,0,181
"Osmia montana quadriceps",1,1,"N131",2013-07-14,"Osmia","2013","LOW","Meadow","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,3,195
"Osmia montana quadriceps",0,0,"N131",2013-07-20,"Osmia","2013","LOW","Meadow","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,3,201
"Osmia montana quadriceps",0,0,"N131",2013-08-01,"Osmia","2013","LOW","Meadow","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,0,213
"Osmia montana quadriceps",0,0,"N132",2013-06-30,"Osmia","2013","MOD","Meadow","solitary","above","rent",NA,"yes","yes",0.547532364918503,0.517881401222183,1,181
