GenusSpeciesSex,d
Coelioxys moesta m,0.028213028
Ashmeadiella meliloti f,0.037537021
Ashmeadiella salviae m,0.037537021
Anthophora pacifica f,0.041142372
Megachile texensis m,0.041142372
Stelis lateralis f,0.041142372
Eucera venusta f,0.045309941
Bombus rufocinctus m,0.055367023
Nomada edwardsii m,0.056757103
Andrena knuthiana f,0.057194038
Andrena monogonoparia f,0.057194038
Andrena vandykei m,0.057194038
Nomada crotchii m,0.057194038
Andrena nigrocaerulea m,0.060766943
Andrena forbesii f,0.071827044
Megachile parallela m,0.071827044
Dufourea femorata m,0.078003912
Lasioglossum trizonatum f,0.078003912
Megachile coquilletti f,0.078003912
Stelis incisa m,0.078003912
Atoposmia pycnognatha f,0.085313731
Coelioxys novomexicana f,0.085313731
Diadasia angusticeps f,0.085313731
Diadasia angusticeps m,0.085313731
Lasioglossum giffardi f,0.085313731
Osmia clarescens m,0.085313731
Andrena pulverea f,0.090960516
Chelostoma marginatum f,0.099595858
Dufourea spilura m,0.099595858
Ashmeadiella meliloti m,0.11315156
Anthophora curta f,0.132810882
Lasioglossum obscurior f,0.132810882
Nomada formula m,0.132810882
Stelis holocyanea f,0.132810882
Calliopsis linsleyi f,0.132889839
Hylaeus timberlakei f,0.140631253
Anthophora phaceliae f,0.144906247
Lasioglossum cyaneonotum m,0.14888892
Melecta thoracica m,0.149248532
Osmia ribifloris f,0.149248532
Hoplitis jacintana m,0.14982878
Megachile frigida m,0.158423629
Ceratina tejonensis f,0.163140546
Andrena merriami f,0.167436942
Nomada formula f,0.167436942
Lasioglossum tuolumnense f,0.169453666
Osmia cobaltina m,0.178242238
Osmia dolerosa m,0.178242238
Stelis cockerelli f,0.178242238
Hylaeus timberlakei m,0.179965344
Colletes lutzi f,0.180071898
Eucera acerba f,0.183342572
Anthidiellum notatum f,0.183939468
Andrena chapmanae m,0.188822967
Perdita quadrisignata f,0.193572741
Anthidium tenuiflorae m,0.194218526
Triepeolus subalpinus m,0.194218526
Anthidium clypeodentatum f,0.202398731
Osmia longula m,0.202398731
Bombus fernaldae f,0.203361562
Stelis calliphorina m,0.206176917
Colletes fulgidus f,0.206752236
Andrena arctostaphylae f,0.207623354
Eucera edwardsii m,0.207737447
Hoplitis colei m,0.208602594
Coelioxys serricaudata m,0.209071909
Megachile angularis m,0.215151343
Megachile frigida f,0.215151343
Megachile perihirta f,0.216534468
Andrena thaspii f,0.217807701
Andrena vicinoides f,0.221895713
Dianthidium plenum m,0.226577577
Stelis montana f,0.229223537
Osmia cockerelli f,0.231430025
Andrena candida f,0.23675724
Osmia gaudiosa f,0.23826393
Ashmeadiella difugita m,0.239751484
Stelis laticincta f,0.23984392
Agapostemon texanus m,0.239882635
Andrena miranda f,0.2402875
Andrena cerasifolii m,0.241687283
Osmia integra m,0.242419832
Andrena cleodora f,0.242589709
Hoplitis hypocrita f,0.243161556
Eucera lunata f,0.243536623
Anthophora urbana m,0.24416898
Stelis carnifex f,0.24715321
Colletes kincaidii f,0.249030673
Coelioxys porterae m,0.250547468
Osmia brevis m,0.25149651
Perdita trisignata m,0.256189407
Augochlorella pomoniella m,0.257850612
Osmia aglaia f,0.259999709
Osmia obliqua f,0.260517905
Calliopsis linsleyi m,0.260669532
Megachile apicalis m,0.260690272
Osmia giliarum f,0.260760433
Osmia grindeliae m,0.26080173
Lasioglossum anhypops f,0.262246529
Anthophora urbana f,0.262527125
Ashmeadiella eurynorhyncha f,0.26327177
Osmia latisulcata f,0.26327177
