Park,Site,Year,Shannon,Evenness,Simpson,invSimpson,Richness,Richness_SAS
SEQI,125,2014,1.470808476,0.913864688,0.74,3.846153846,5,14
SEQI,126,2014,0.977397002,0.607290902,0.570677186,2.329249617,5,20
SEQI,127,2014,1.079388637,0.778614317,0.624330756,2.661916073,4,10
SEQI,141,2014,1.277034259,0.921185497,0.693877551,3.266666667,4,15
SEQI,142,2014,1.39353315,0.77774566,0.712033833,3.472630174,6,20
SEQI,143,2014,1.186322734,0.737103758,0.619614512,2.628912072,5,17
SEQI,159,2014,0.885288834,0.638600906,0.46366782,1.864516129,4,26
SEQI,160,2014,1.965715585,0.791062145,0.802809573,5.071240106,12,37
SEQI,161,2014,1.336175849,0.830212734,0.677083333,3.096774194,5,15
SEQI,162,2014,1.559086916,0.677102845,0.705075446,3.390697674,10,24
SEQI,229,2014,1.178654996,0.732339525,0.579881657,2.38028169,5,15
SEQI,230,2014,1.075139324,0.775549086,0.583333333,2.4,4,21
SEQI,252,2014,0.974504881,0.70295668,0.574074074,2.347826087,4,23
SEQI,N252,2014,1.217805823,0.679670371,0.644773879,2.815108294,6,18
SEQI,P0-1,2002,1.326920194,0.824461872,0.686390533,3.188679245,5,18
SEQI,P0-1,2014,1.054720917,0.760820318,0.581632653,2.390243902,4,15
SEQI,P0-2,2002,1.327423498,0.74084916,0.670135276,3.031545741,6,16
SEQI,P0-2,2014,1.18755835,0.73787149,0.638422206,2.765656566,5,17
SEQI,P0-3,2002,1.220607265,0.880482024,0.66,2.941176471,4,16
SEQI,P0-3,2014,0.916464886,0.834202289,0.561983471,2.283018868,3,14
SEQI,P0-4,2002,1.607522943,0.897175637,0.772889417,4.403141361,6,11
SEQI,P0-4,2014,1.196612711,0.743497281,0.62283737,2.651376147,5,14
SEQI,P0-5,2002,1.517106397,0.942631204,0.763888889,4.235294118,5,15
SEQI,P0-5,2014,1.213007566,0.875,0.65625,2.909090909,4,12
SEQI,P1-1,2002,1.098612289,1,0.666666667,3,3,16
SEQI,P1-1,2014,0.529706199,0.764204507,0.345679012,1.528301887,2,16
SEQI,P1-2,2002,0.758936773,0.690814021,0.43877551,1.781818182,3,21
SEQI,P1-2,2014,1.405622708,0.78449297,0.695290859,3.281818182,6,24
SEQI,P1-3,2002,0,0,0,1,1,13
SEQI,P1-3,2014,0.859967281,0.782775953,0.512396694,2.050847458,3,13
SEQI,P1-35,2002,0.983087759,0.709147917,0.513888889,2.057142857,4,18
SEQI,P1-35,2014,0.62365485,0.899743759,0.432132964,1.76097561,2,19
SEQI,P1-4,2002,1.560710409,0.9697239,0.777777778,4.5,5,16
SEQI,P1-4,2014,0.636514168,0.918295834,0.444444444,1.8,2,14
SEQI,P1-46,2002,1.454629255,0.811844045,0.680529301,3.130177515,6,17
SEQI,P1-46,2014,0.410116318,0.591672779,0.244897959,1.324324324,2,17
SEQI,P1-48,2002,0,0,0,1,1,17
SEQI,P1-48,2014,0.500402424,0.721928095,0.32,1.470588235,2,19
SEQI,P1-5,2002,0.867563228,0.789690082,0.5,2,3,17
SEQI,P1-5,2014,0.410116318,0.591672779,0.244897959,1.324324324,2,20
SEQI,P1-60,2002,1.379582407,0.857182744,0.712802768,3.481927711,5,18
SEQI,P1-60,2014,1.212757867,0.75352883,0.617969321,2.617590822,5,15
SEQI,P1-62,2002,0.859967281,0.782775953,0.512396694,2.050847458,3,11
SEQI,P1-62,2014,1.096722392,0.681431936,0.603550296,2.52238806,5,13
SEQI,P2-1,2002,0.974314753,0.886859507,0.59375,2.461538462,3,10
SEQI,P2-1,2014,0.860549287,0.620755094,0.448,1.811594203,4,11
SEQI,P2-2,2002,0.376770161,0.543564443,0.21875,1.28,2,13
SEQI,P2-2,2014,0.758936773,0.690814021,0.43877551,1.781818182,3,14
SEQI,P2-3,2002,2.220403479,0.925980173,0.873345936,7.895522388,11,27
SEQI,P2-3,2014,0.926155713,0.668080127,0.51,2.040816327,4,25
SEQI,P2-34,2002,0,0,0,1,1,16
SEQI,P2-34,2014,1.213007566,0.875,0.65625,2.909090909,4,14
SEQI,P2-36,2002,1.504788284,0.93497753,0.76,4.166666667,5,12
SEQI,P2-36,2014,0.901951382,0.650620393,0.494331066,1.977578475,4,10
SEQI,P2-38,2002,0,0,0,1,1,13
SEQI,P2-38,2014,0.562335145,0.811278124,0.375,1.6,2,10
SEQI,P2-4,2002,1.601224797,0.822866769,0.75154321,4.02484472,7,37
SEQI,P2-4,2014,1.209042424,0.550258921,0.493791088,1.975468975,9,39
SEQI,P2-5,2002,1.553019135,0.964945042,0.777777778,4.5,5,12
SEQI,P2-5,2014,0.913338072,0.658834154,0.5,2,4,17
SEQI,P2-51,2002,1.561720923,0.802565793,0.72543618,3.642140468,7,16
SEQI,P2-51,2014,0.198515243,0.286396957,0.095,1.104972376,2,9
SEQI,P2-53,2002,1.005603347,0.725389481,0.586888658,2.420654912,4,21
SEQI,P2-53,2014,1.340419763,0.832849626,0.67768595,3.102564103,5,16
SEQI,P2-55,2002,1.054920168,0.960229718,0.64,2.777777778,3,16
SEQI,P2-55,2014,0,0,0,1,1,18
SEQI,P2-57,2002,1.446918983,0.80754086,0.698961938,3.32183908,6,21
SEQI,P2-57,2014,0.708018976,0.644466645,0.409972299,1.694835681,3,23
SEQI,P2-59,2002,1.564370103,0.971997796,0.78200692,4.587301587,5,15
SEQI,P2-59,2014,1.197337592,0.743947674,0.629935721,2.702233251,5,20
SEQI,P2-80,2002,1.154821477,0.833027609,0.664554097,2.981106613,4,14
SEQI,P2-80,2014,1.362681207,0.846681438,0.71884863,3.556802874,5,13
