Site,Bare,Litter,Wood,Year,SiteStatus
L21,209,164,39,2013,MOD
L24,111,171,69,2013,HIGH
L33,65,299,93,2013,LOW
L35,108,34,134,2013,MOD
N131,79,154,23,2013,LOW
N132,54,342,40,2013,MOD
N133,232,28,45,2013,HIGH
N134,149,253,74,2013,MOD
N135,135,194,4,2013,MOD
N136,32,254,176,2013,LOW
N137,420,13,36,2013,HIGH
N139,226,260,11,2013,LOW
P24,137,278,41,2013,LOW
P310,214,110,16,2013,HIGH
P33,133,44,113,2013,HIGH
P37,100,262,34,2013,LOW
P43,44,336,73,2013,LOW
W04,207,23,23,2013,HIGH
L21,209,164,39,2014,MOD
L24,111,171,69,2014,HIGH
L33,65,299,93,2014,LOW
L35,108,34,134,2014,MOD
N131,79,154,23,2014,LOW
N132,54,342,40,2014,MOD
N133,232,28,45,2014,HIGH
N134,149,253,74,2014,MOD
N135,135,194,4,2014,MOD
N136,32,254,176,2014,LOW
N137,420,13,36,2014,HIGH
N139,226,260,11,2014,LOW
P24,137,278,41,2014,LOW
P310,214,110,16,2014,HIGH
P33,133,44,113,2014,HIGH
P37,100,262,34,2014,LOW
P43,44,336,73,2014,LOW
W04,207,23,23,2014,HIGH
