"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies","Year","doy","Occ","logFlowerNum","PlantGenusSpecies","SiteStatus"
"L21",2013-06-26,"full bloom",2,"Achillea","millefolium","","","2013",177,1,10,"Achillea millefolium","MOD"
"L21",2013-07-13,"full bloom",2,"Achillea","millefolium","","","2013",194,1,10,"Achillea millefolium","MOD"
"L21",2013-07-17,"full bloom",2,"Achillea","millefolium","","","2013",198,1,10,"Achillea millefolium","MOD"
"L21",2013-07-30,"finishing bloom",2,"Achillea","millefolium","","","2013",211,1,10,"Achillea millefolium","MOD"
"L21",2014-06-12,"full bloom",3,"Achillea","millefolium","","","2014",163,1,100,"Achillea millefolium","MOD"
"L21",2014-06-22,"full bloom",2,"Achillea","millefolium","","","2014",173,1,10,"Achillea millefolium","MOD"
"L21",2014-07-03,"full bloom",3,"Achillea","millefolium","","","2014",184,1,100,"Achillea millefolium","MOD"
"L21",2014-07-13,"full bloom",3,"Achillea","millefolium","","","2014",194,1,100,"Achillea millefolium","MOD"
"L24",2013-06-27,"full bloom",3,"Achillea","millefolium","","","2013",178,1,100,"Achillea millefolium","HIGH"
"L24",2013-07-13,"full bloom",3,"Achillea","millefolium","","","2013",194,1,100,"Achillea millefolium","HIGH"
"L24",2013-07-18,"full bloom",3,"Achillea","millefolium","","","2013",199,1,100,"Achillea millefolium","HIGH"
"L24",2013-07-31,"finishing bloom",3,"Achillea","millefolium","","","2013",212,1,100,"Achillea millefolium","HIGH"
"L24",2014-06-13,"beginning to bloom to bloom",3,"Achillea","millefolium","","","2014",164,1,100,"Achillea millefolium","HIGH"
"L24",2014-06-23,"full bloom",3,"Achillea","millefolium","","","2014",174,1,100,"Achillea millefolium","HIGH"
"L24",2014-07-02,"full bloom",4,"Achillea","millefolium","","","2014",183,1,1000,"Achillea millefolium","HIGH"
"L24",2014-07-13,"full bloom",5,"Achillea","millefolium","","","2014",194,1,10000,"Achillea millefolium","HIGH"
"L35",2013-06-27,"full bloom",3,"Achillea","millefolium","","","2013",178,1,100,"Achillea millefolium","MOD"
"L35",2013-07-13,"full bloom",3,"Achillea","millefolium","","","2013",194,1,100,"Achillea millefolium","MOD"
"L35",2013-07-18,"full bloom",3,"Achillea","millefolium","","","2013",199,1,100,"Achillea millefolium","MOD"
"L35",2013-07-29,"finishing bloom",2,"Achillea","millefolium","","","2013",210,1,10,"Achillea millefolium","MOD"
"L35",2014-06-12,"full bloom",1,"Achillea","millefolium","","","2014",163,1,1,"Achillea millefolium","MOD"
"L35",2014-06-22,"full bloom",1,"Achillea","millefolium","","","2014",173,1,1,"Achillea millefolium","MOD"
"L35",2014-07-03,"finishing bloom",1,"Achillea","millefolium","","","2014",184,1,1,"Achillea millefolium","MOD"
"L35",2014-07-13,"finishing bloom",2,"Achillea","millefolium","","","2014",194,1,10,"Achillea millefolium","MOD"
"N134",2013-07-08,"full bloom",2,"Achillea","millefolium","","","2013",189,1,10,"Achillea millefolium","MOD"
"N134",2013-07-11,"full bloom",2,"Achillea","millefolium","","","2013",192,1,10,"Achillea millefolium","MOD"
"N134",2013-07-22,"full bloom",2,"Achillea","millefolium","","","2013",203,1,10,"Achillea millefolium","MOD"
"N134",2013-07-25,"full bloom",2,"Achillea","millefolium","","","2013",206,1,10,"Achillea millefolium","MOD"
"N134",2014-06-17,"not blooming",2,"Achillea","millefolium","","","2014",168,1,10,"Achillea millefolium","MOD"
"N134",2014-07-06,"full bloom",1,"Achillea","millefolium","","","2014",187,1,1,"Achillea millefolium","MOD"
"N134",2014-07-09,"full bloom",3,"Achillea","millefolium","","","2014",190,1,100,"Achillea millefolium","MOD"
"N134",2014-07-17,"not blooming",0,"Achillea","millefolium","","","2014",198,0,0,"Achillea millefolium","MOD"
"N135",2014-06-18,"beginning to bloom to bloom",1,"Achillea","millefolium","","","2014",169,1,1,"Achillea millefolium","MOD"
"N135",2014-07-06,"beginning to bloom to bloom",3,"Achillea","millefolium","","","2014",187,1,100,"Achillea millefolium","MOD"
"N135",2014-07-19,"not blooming",1,"Achillea","millefolium","","","2014",200,1,1,"Achillea millefolium","MOD"
"N135",2014-07-19,"full bloom",1,"Achillea","millefolium","","","2014",200,1,1,"Achillea millefolium","MOD"
"N137",2013-07-09,"full bloom",3,"Achillea","millefolium","","","2013",190,1,100,"Achillea millefolium","HIGH"
"N137",2013-07-12,"full bloom",3,"Achillea","millefolium","","","2013",193,1,100,"Achillea millefolium","HIGH"
"N137",2013-07-24,"finishing bloom",2,"Achillea","millefolium","","","2013",205,1,10,"Achillea millefolium","HIGH"
"N137",2013-07-26,"finishing bloom",2,"Achillea","millefolium","","","2013",207,1,10,"Achillea millefolium","HIGH"
"N137",2014-07-07,"full bloom",3,"Achillea","millefolium","","","2014",188,1,100,"Achillea millefolium","HIGH"
"N137",2014-07-10,"full bloom",2,"Achillea","millefolium","","","2014",191,1,10,"Achillea millefolium","HIGH"
"N137",2014-07-19,"full bloom",2,"Achillea","millefolium","","","2014",200,1,10,"Achillea millefolium","HIGH"
"P310",2013-06-29,"full bloom",2,"Achillea","millefolium","","","2013",180,1,10,"Achillea millefolium","HIGH"
"P310",2013-07-13,"full bloom",2,"Achillea","millefolium","","","2013",194,1,10,"Achillea millefolium","HIGH"
"P310",2013-07-17,"full bloom",2,"Achillea","millefolium","","","2013",198,1,10,"Achillea millefolium","HIGH"
"P310",2013-07-31,"full bloom",1,"Achillea","millefolium","","","2013",212,1,1,"Achillea millefolium","HIGH"
"P310",2014-06-12,"not blooming",0,"Achillea","millefolium","","","2014",163,0,0,"Achillea millefolium","HIGH"
"P310",2014-06-24,"not blooming",0,"Achillea","millefolium","","","2014",175,0,0,"Achillea millefolium","HIGH"
"P310",2014-07-01,"finishing bloom",1,"Achillea","millefolium","","","2014",182,1,1,"Achillea millefolium","HIGH"
"P310",2014-07-13,"finishing bloom",1,"Achillea","millefolium","","","2014",194,1,1,"Achillea millefolium","HIGH"
"P33",2013-06-27,"full bloom",2,"Achillea","millefolium","","","2013",178,1,10,"Achillea millefolium","HIGH"
"P33",2013-07-13,"full bloom",2,"Achillea","millefolium","","","2013",194,1,10,"Achillea millefolium","HIGH"
"P33",2013-07-18,"full bloom",2,"Achillea","millefolium","","","2013",199,1,10,"Achillea millefolium","HIGH"
"P33",2013-07-29,"full bloom",2,"Achillea","millefolium","","","2013",210,1,10,"Achillea millefolium","HIGH"
"P33",2014-06-12,"not blooming",0,"Achillea","millefolium","","","2014",163,0,0,"Achillea millefolium","HIGH"
"P33",2014-06-22,"not blooming",0,"Achillea","millefolium","","","2014",173,0,0,"Achillea millefolium","HIGH"
"P33",2014-07-02,"not blooming",0,"Achillea","millefolium","","","2014",183,0,0,"Achillea millefolium","HIGH"
"P33",2014-07-13,"not blooming",0,"Achillea","millefolium","","","2014",194,0,0,"Achillea millefolium","HIGH"
"P37",2013-06-28,"full bloom",2,"Achillea","millefolium","","","2013",179,1,10,"Achillea millefolium","LOW"
"P37",2013-07-13,"finishing bloom",2,"Achillea","millefolium","","","2013",194,1,10,"Achillea millefolium","LOW"
"P37",2013-07-19,"finishing bloom",2,"Achillea","millefolium","","","2013",200,1,10,"Achillea millefolium","LOW"
"P37",2013-07-30,"finishing bloom",2,"Achillea","millefolium","","","2013",211,1,10,"Achillea millefolium","LOW"
"P37",2014-06-13,"not blooming",0,"Achillea","millefolium","","","2014",164,0,0,"Achillea millefolium","LOW"
"P37",2014-06-24,"full bloom",2,"Achillea","millefolium","","","2014",175,1,10,"Achillea millefolium","LOW"
"P37",2014-07-01,"full bloom",1,"Achillea","millefolium","","","2014",182,1,1,"Achillea millefolium","LOW"
"P37",2014-07-13,"",0,"Achillea","millefolium","","","2014",194,0,0,"Achillea millefolium","LOW"
"W04",2013-06-30,"not blooming",0,"Achillea","millefolium","","","2013",181,0,0,"Achillea millefolium","HIGH"
"W04",2013-07-14,"full bloom",2,"Achillea","millefolium","","","2013",195,1,10,"Achillea millefolium","HIGH"
"W04",2013-07-20,"full bloom",2,"Achillea","millefolium","","","2013",201,1,10,"Achillea millefolium","HIGH"
"W04",2013-08-01,"full bloom",2,"Achillea","millefolium","","","2013",213,1,10,"Achillea millefolium","HIGH"
"W04",2014-06-14,"not blooming",0,"Achillea","millefolium","","","2014",165,0,0,"Achillea millefolium","HIGH"
"W04",2014-06-25,"not blooming",0,"Achillea","millefolium","","","2014",176,0,0,"Achillea millefolium","HIGH"
"W04",2014-07-04,"not blooming",0,"Achillea","millefolium","","","2014",185,0,0,"Achillea millefolium","HIGH"
"W04",2014-07-14,"not blooming",0,"Achillea","millefolium","","","2014",195,0,0,"Achillea millefolium","HIGH"
"N136",2013-07-09,"full bloom",3,"Aconitum","columbianum","","","2013",190,1,100,"Aconitum columbianum","LOW"
"N136",2013-07-12,"full bloom",3,"Aconitum","columbianum","","","2013",193,1,100,"Aconitum columbianum","LOW"
"N136",2013-07-24,"finishing bloom",3,"Aconitum","columbianum","","","2013",205,1,100,"Aconitum columbianum","LOW"
"N136",2013-07-26,"finishing bloom",3,"Aconitum","columbianum","","","2013",207,1,100,"Aconitum columbianum","LOW"
"N136",2014-06-17,"beginning to bloom to bloom",2,"Aconitum","columbianum","","","2014",168,1,10,"Aconitum columbianum","LOW"
"N136",2014-07-07,"full bloom",3,"Aconitum","columbianum","","","2014",188,1,100,"Aconitum columbianum","LOW"
"N136",2014-07-10,"full bloom",4,"Aconitum","columbianum","","","2014",191,1,1000,"Aconitum columbianum","LOW"
"N136",2014-07-17,"full bloom",3,"Aconitum","columbianum","","","2014",198,1,100,"Aconitum columbianum","LOW"
"L21",2014-06-12,"not blooming",0,"Agoseris","grandiflora","","","2014",163,0,0,"Agoseris grandiflora","MOD"
"L21",2014-06-22,"not blooming",0,"Agoseris","grandiflora","","","2014",173,0,0,"Agoseris grandiflora","MOD"
"L21",2014-07-03,"finishing bloom",1,"Agoseris","grandiflora","","","2014",184,1,1,"Agoseris grandiflora","MOD"
