Males,Females,Family,Genus,Species,PlantGenusSpecies
0,4,Andrenidae,Andrena,angustella,Limnanthes alba 
0,5,Andrenidae,Andrena,angustella,Limnanthes montana 
0,1,Andrenidae,Andrena,angustitarsata,Amelanchier utahensis 
0,1,Andrenidae,Andrena,angustitarsata,Amsinckia sp. 
0,2,Andrenidae,Andrena,angustitarsata,Calochortus venustus 
0,2,Andrenidae,Andrena,angustitarsata,Ceanothus integerrimus 
0,1,Andrenidae,Andrena,angustitarsata,Ceanothus sp. 
0,11,Andrenidae,Andrena,angustitarsata,Chamaebatia foliolosa 
0,3,Andrenidae,Andrena,angustitarsata,Clarkia williamsonii 
0,1,Andrenidae,Andrena,angustitarsata,Cornus sericea ssp.occidentalis 
0,2,Andrenidae,Andrena,angustitarsata,Cryptantha sp. 
0,4,Andrenidae,Andrena,angustitarsata,Geranium carolinianum 
0,2,Andrenidae,Andrena,angustitarsata,Horkelia tridentata 
0,3,Andrenidae,Andrena,angustitarsata,Limnanthes alba 
0,24,Andrenidae,Andrena,angustitarsata,NA
0,2,Andrenidae,Andrena,angustitarsata,Plagiobothrys nothofulvus 
0,1,Andrenidae,Andrena,angustitarsata,Potentilla glandulosa 
0,1,Andrenidae,Andrena,angustitarsata,Ranunculus orthorhynchus var.orthorhynchus
0,2,Andrenidae,Andrena,angustitarsata,Rhamnus ilicifolia 
0,2,Andrenidae,Andrena,angustitarsata,Rhamnus tomentella 
0,1,Andrenidae,Andrena,angustitarsata,Rhus trilobata 
0,4,Andrenidae,Andrena,angustitarsata,Thysanocarpus curvipes 
1,0,Andrenidae,Andrena,anisochlora,Claytonia parviflora 
0,2,Andrenidae,Andrena,anisochlora,Claytonia perfoliata 
0,1,Andrenidae,Andrena,anisochlora,Lewisia congdonii 
1,0,Andrenidae,Andrena,anisochlora,NA
10,3,Andrenidae,Andrena,arctostaphylae,Arctostaphylos viscida 
0,2,Andrenidae,Andrena,astragali,NA
0,1,Andrenidae,Andrena,auricoma,Allophyllum gilioides 
0,1,Andrenidae,Andrena,auricoma,Amelanchier utahensis 
0,1,Andrenidae,Andrena,auricoma,Calandrinia ciliata 
0,1,Andrenidae,Andrena,auricoma,Ceanothus integerrimus 
0,1,Andrenidae,Andrena,auricoma,Chamaebatia foliolosa 
0,1,Andrenidae,Andrena,auricoma,Collinsia tinctoria 
0,1,Andrenidae,Andrena,auricoma,Cryptantha sp. 
0,1,Andrenidae,Andrena,auricoma,Eriodictyon californicum 
0,1,Andrenidae,Andrena,auricoma,Geranium carolinianum 
0,7,Andrenidae,Andrena,auricoma,Gilia capitata 
0,4,Andrenidae,Andrena,auricoma,Gilia tricolor 
0,1,Andrenidae,Andrena,auricoma,Lomatium utriculatum 
0,1,Andrenidae,Andrena,auricoma,Madia elegans 
0,2,Andrenidae,Andrena,auricoma,Nemophila heterophylla 
0,7,Andrenidae,Andrena,auricoma,NA
0,2,Andrenidae,Andrena,auricoma,Phacelia cicutaria var.cicutaria
