Site,Bare,Litter,Wood,Total,Pbare,Plitter,Pwood,Year
L21,209,164,39,508,26,21,5,2013
L24,111,171,69,508,14,21,9,2013
L33,65,299,93,508,8,37,12,2013
L35,108,34,134,508,14,4,17,2013
N131,79,154,23,508,10,19,3,2013
N132,54,342,40,508,7,43,5,2013
N133,232,28,45,508,29,4,6,2013
N134,149,253,74,508,19,32,9,2013
N135,135,194,4,508,17,24,1,2013
N136,32,254,176,508,4,32,22,2013
N137,420,13,36,508,53,2,5,2013
N138,63,278,37,508,8,35,5,2013
N139,226,260,11,508,28,33,1,2013
P24,137,278,41,508,17,35,5,2013
P310,214,110,16,508,27,14,2,2013
P33,133,44,113,508,17,6,14,2013
P37,100,262,34,508,13,33,4,2013
P43,44,336,73,508,6,42,9,2013
W04,207,23,23,508,26,3,3,2013
L21,209,164,39,508,26,21,5,2014
L24,111,171,69,508,14,21,9,2014
L33,65,299,93,508,8,37,12,2014
L35,108,34,134,508,14,4,17,2014
N131,79,154,23,508,10,19,3,2014
N132,54,342,40,508,7,43,5,2014
N133,232,28,45,508,29,4,6,2014
N134,149,253,74,508,19,32,9,2014
N135,135,194,4,508,17,24,1,2014
N136,32,254,176,508,4,32,22,2014
N137,420,13,36,508,53,2,5,2014
N138,63,278,37,508,8,35,5,2014
N139,226,260,11,508,28,33,1,2014
P24,137,278,41,508,17,35,5,2014
P310,214,110,16,508,27,14,2,2014
P33,133,44,113,508,17,6,14,2014
P37,100,262,34,508,13,33,4,2014
P43,44,336,73,508,6,42,9,2014
W04,207,23,23,508,26,3,3,2014
