FieldPlantSp,PlantSp
ACHMIL,Achillea millefolium
ACOCOL,Aconitum columbianum
AGOGRA,Agoseris grandiflora
AGORET,Agoseris retrorsa
ALLCAM,Allium campanulatum
APOAND,Apocynum androsaemifolium 
AQUFOR,Aquilegia formosa
ARAREC,Arabis rectissima var. rectissima
ARCPAT,Arctostaphylos patula
ARNNEV,Arnica nevadensis
ASTBRE,Aster breweri
ASTINT,Aster integrifolius
ASTOCC,Aster occidentalis
Calochortus spp.,Calochortus spp.
CALUMB,Calyptridium umbellatum
CASAPP,Castilleja applegatei ssp. disticha
CEACOR,Ceanothus cordulatus
CHADOU,Chaenactis douglasii var. douglasii
CIRAND,Cirsium andersonii
COLGRA,Collomia grandiflora
COLTOR,Collinsia torreyi var. torreyi
CYMTER,Cymopterus terebinthinus
Delphinium sp.,Delphinium sp.
EPIANG,Epilobium angustifloium ssp. circumvagum
EPICIL,Epilobium ciliatum ssp. glandulosum
ERIBLO,Ericameria bloomeri
ERIBRE,Erigeron brewerii var. brewerii
ERILAN,Eriophyllum lanatum var. integrifolium
ERINUD,Eriogonum nudum var.nudum
ERISPE,Eriogonum spergulinum var. reddingianum
ERIUMB,Eriogonum umbellatum
ERIWRI,Eriogonum wrightti var. subscaposum
ERYCAP,Erysimum capitatum ssp.perenne
GAYDIF,Gayophytum diffusum 
GAYERI,Gayophytum eriospermum
GERRIC,Geranium richardsonii
HACMIC,Hackelia micrantha
HACMUN,Hackelia mundula
HERMAX,Heracleum lanatum
HIEALB,Hieracium albiflorum
HIEHOR,Hieracium horridium
HORFUS,Horkelia fusca 
HYPRAD,Hypochaeris radicata
IPOAGG,Ipomopsis aggregata ssp. formosissima
IVESAN,Ivesia santolinoides
KELGAL,Kelloggia galioides
LILPAR,Lilium pardalinum ssp. pardalinum
LINCIL,Linanthis ciliatus 
LUPBRE,Lupinus breweri var. breweri
LUPFUL,Lupinus fulcratus
LUPLAT,Lupinus latifolius var.columbianus
MADGRA,Madia gracilis
MALFLO,Malacothrix floccifera
MIMFLO,Mimulus florida
MIMWHI,Mimulus whitneyi
MONODO,Monardella odoratissima ssp. pallida
Osmorhiza sp.,Osmorhiza bertero chilensis
PEDSEM,Pedicularis semibarbata
PENNEW,Penstemon newberryi var.newberryi
PHAHAS,Phacelia hastata ssp. compacta
PHLCON,Phlox condensata
POLBIS,Polygonum bistortoides
POTDRU,Potentilla drummondii ssp. brewerii
POTGLA,Potentilla glandulosa
POTGRA,Potentilla gracilis
Pseudognaphalium spp.,Pseudognaphalium spp.
RAISCA,Raillardella scaposa
RIBCER,Ribes cereum var. cereum
SENARO,Senecio aronicoides
SENSCO,Senecio scorzonella
SENTRI,Senecio triangularis
SOLCAN,Solidago canadensis ssp. elongata
STAALB,Stachys albens
Stephanomeria sp.,Stephanomeria sp.
STRTOR,Streptanthus tortuosus
TRADUB,Tragopogon dubius
TRIIXI,Triteleia ixioides ssp. anilina
VERCAL,Veratrum californicum
VIOPUR,Viola purpurea
WYEMOL,Wyethia mollis
