"EMEC","UniqueID","TempID","Year","Site","Date","NetPan","PanColor","PanID","SampleRound","NetNumber","Collector","FieldPlantSp","PlantSp","Order","Family","Genus","Subgenus","Species","Subspecies","Sex","Determiner","DateDetermined","Author","GeneralID"
1040002,"YOSE-7420_EMEC_6986",6986,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","f","T. Griswold","2013-2015","Cresson","Bee"
1040003,"YOSE-7420_EMEC_6987",6987,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","f","T. Griswold","2013-2015","Cresson","Bee"
1040004,"YOSE-7420_EMEC_6988",6988,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","f","T. Griswold","2013-2015","Cresson","Bee"
1040005,"YOSE-7420_EMEC_6989",6989,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","f","T. Griswold","2013-2015","Cresson","Bee"
1040006,"YOSE-7420_EMEC_6990",6990,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","f","T. Griswold","2013-2015","Cresson","Bee"
1040007,"YOSE-7420_EMEC_6991",6991,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","f","T. Griswold","2013-2015","Cresson","Bee"
1040008,"YOSE-7420_EMEC_6992",6992,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","f","T. Griswold","2013-2015","Cresson","Bee"
1040009,"YOSE-7420_EMEC_6993",6993,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040010,"YOSE-7420_EMEC_6994",6994,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","brevis","","f","T. Griswold","2013-2015","Cresson","Bee"
1040011,"YOSE-7420_EMEC_6995",6995,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040012,"YOSE-7420_EMEC_6996",6996,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","densa","","f","T. Griswold","2013-2015","Cresson","Bee"
1040013,"YOSE-7420_EMEC_6997",6997,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040014,"YOSE-7420_EMEC_6998",6998,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040015,"YOSE-7420_EMEC_6999",6999,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040016,"YOSE-7420_EMEC_7000",7000,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040017,"YOSE-7420_EMEC_7001",7001,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040018,"YOSE-7420_EMEC_7002",7002,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","f","T. Griswold","2013-2015","Cockerell","Bee"
1040019,"YOSE-7420_EMEC_7003",7003,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","m","T. Griswold","2013-2015","Cockerell","Bee"
1040020,"YOSE-7420_EMEC_7004",7004,2014,"L21","6/12/14","net","","",1,1,"LKM","WYEMOL","Wyethia mollis","Coleoptera",NA,"Trichodes","","ornatus","","","L. Ponisio","2015","Linsley & MacSwain","Beetle"
