Site,Date,Collector,NetPan,SampleRound,NetNumber,StartTemp,StartWind,StartSky,StartTime,EndTime,EndTemp,EndWind,EndSky,Year
L21,6/26/13,LCP,net,1,1,15.8,0.4,clear,9:30:00,11:00:00,22,0.4,clear,2013
L21,6/26/13,LCP,net,1,2,25,0.5,clear,11:30:00,1:00:00,22,1.5,clear,2013
L21,6/26/13,LCP,net,1,3,25,0.5,clear,11:30:00,1:00:00,22,1.5,clear,2013
L21,6/26/13,LCP,pan,1,,15.8,0.4,clear,9:30:00,2:00:00,25.5,0.8,clear,2013
L21,7/13/13,LKM,net,2,1,21.1,1,clear,9:25:00,10:48:00,24.1,1.7,clear,2013
L21,7/13/13,LKM,net,2,2,24.1,1.7,clear,10:48:00,12:08:00,25.1,1.4,clear,2013
L21,7/13/13,LKM,net,2,3,25.1,1.4,clear,12:08:00,1:30:00,30,2.7,clear,2013
L21,7/13/13,LKM,pan,2,,21.1,1,clear,9:20:00,1:50:00,30,2.7,clear,2013
L21,7/17/13,LCP,net,3,1,17.8,0.6,clear,9:40:00,11:30:00,27.2,0.6,clear,2013
L21,7/17/13,HS,net,3,2,17.8,0.6,clear,9:40:00,11:35:00,25.5,0.5,clear,2013
L21,7/17/13,LCP,net,3,3,24.8,0.8,clear,11:45:00,1:15:00,28.5,0.5,clear,2013
L21,7/17/13,LCP,pan,3,,17.8,0.6,clear,9:30:00,2:00:00,26.7,0.6,clear,2013
L21,7/30/13,LCP,net,4,1,17,0.4,clear,9:15:00,11:15:00,22.2,0.4,partly cloudy,2013
L21,7/30/13,AJR,net,4,2,17,0.4,clear,9:00:00,11:30:00,21,0.8,partly cloudy,2013
L21,7/30/13,LCP,net,4,3,22.2,1.3,partly cloudy,12:10:00,1:15:00,23.5,0.8,partly cloudy,2013
L21,7/30/13,LCP,pan,4,,16,0.5,clear,8:50:00,1:20:00,23.5,0.8,partly cloudy,2013
L24,6/27/13,LKM,net,1,1,23,0,clear,8:30:00,9:48:00,27.7,0.9,clear,2013
L24,6/27/13,LKM,net,1,2,22.7,0.9,clear,9:48:00,11:21:00,26.1,2.2,clear,2013
L24,6/27/13,LKM,net,1,3,26.1,2.2,clear,11:21:00,12:48:00,28.1,3.2,clear,2013
L24,6/27/13,LKM,pan,1,,14.8,0,clear,8:00:00,12:30:00,28.1,3.2,clear,2013
L24,7/13/13,SB,net,2,1,20.8,0.3,clear,9:12:00,10:25:00,21.7,1.1,clear,2013
L24,7/13/13,SB,net,2,2,21.9,0.6,clear,10:35:00,11:45:00,22,1.3,clear,2013
L24,7/13/13,SB,net,2,3,22.7,0.8,clear,12:15:00,1:14:00,26.4,1.2,partly cloudy,2013
L24,7/13/13,SB,pan,2,,18.2,0,clear,9:00:00,1:43:00,27.3,0.8,clear,2013
L24,7/18/13,LCP,net,3,1,17.1,0.3,clear,8:53:00,10:25:00,22.4,0.7,clear,2013
L24,7/18/13,HS,net,3,2,17.1,0.3,clear,8:55:00,10:35:00,22.8,0.9,clear,2013
L24,7/18/13,LCP,net,3,3,22.8,0.9,clear,10:40:00,11:45:00,26.1,0.8,clear,2013
L24,7/18/13,LCP,pan,3,,17.1,0.3,clear,8:50:00,1:20:00,25.5,1,clear,2013
L24,7/31/13,LCP,net,4,1,16.4,0,clear,8:50:00,10:15:00,22.2,0.8,clear,2013
L24,7/31/13,AJR,net,4,2,16.4,0,clear,8:50:00,10:20:00,22.2,0.8,clear,2013
L24,7/31/13,LCP,net,4,3,23.3,1.4,clear,10:50:00,11:50:00,24.4,1.4,clear,2013
L24,7/31/13,LCP,pan,4,,16.2,0.6,clear,8:30:00,1:00:00,25.6,0.7,clear,2013
L33,6/29/13,CRP,net,1,1,18.9,0.3,clear,8:10:00,8:56:00,23.4,0.4,clear,2013
L33,6/29/13,CRP,net,1,2,23.5,0.6,clear,9:00:00,9:40:00,24.2,0.6,clear,2013
L33,6/29/13,CRP,net,1,3,24.6,0.4,clear,9:45:00,10:30:00,25.8,0.9,clear,2013
L33,6/29/13,CRP,pan,1,,24.6,0.4,clear,9:45:00,2:15:00,25.8,0.9,clear,2013
L33,7/13/13,GH,net,2,1,20.7,0.4,clear,9:09:00,9:48:00,20.9,0.4,clear,2013
L33,7/13/13,GH,net,2,2,23.2,0.3,clear,10:07:00,10:43:00,27.4,0.5,clear,2013
L33,7/13/13,GH,net,2,3,26.3,0.3,clear,11:10:00,11:45:00,30.6,0.3,clear,2013
L33,7/13/13,GH,pan,2,,18.8,0.6,clear,8:56:00,1:30:00,26.9,0.6,clear,2013
L33,7/19/13,LCP,net,3,1,23.3,0,clear,8:50:00,9:45:00,26.3,0.6,clear,2013
L33,7/19/13,LCP,net,3,2,26.6,0.6,clear,9:45:00,10:45:00,30,0.9,clear,2013
L33,7/19/13,LCP,net,3,3,30,0.9,clear,11:05:00,12:10:00,30.5,1.1,clear,2013
L33,7/19/13,LCP,pan,3,,20.5,0.3,clear,8:30:00,1:00:00,30,1.5,clear,2013
L33,7/31/13,CRP,net,4,1,15,0,clear,8:15:00,8:55:00,21.3,0.8,clear,2013
L33,7/31/13,CRP,net,4,2,21.3,0.7,clear,9:00:00,9:40:00,22.5,0.5,clear,2013
L33,7/31/13,CRP,net,4,3,22.7,0.8,clear,9:50:00,10:30:00,23,1,clear,2013
L33,7/31/13,CRP,pan,4,,15,0,clear,8:00:00,12:30:00,28.2,1,clear,2013
L35,6/27/13,LCP,net,1,1,17.5,0.5,clear,8:00:00,9:45:00,28.5,0.4,clear,2013
L35,6/27/13,LCP,net,1,2,28.5,0.4,clear,9:50:00,10:30:00,28.5,0.5,clear,2013
L35,6/27/13,LCP,net,1,3,27.4,0.5,clear,10:30:00,11:30:00,28.5,0.6,clear,2013
L35,6/27/13,LCP,pan,1,,17.5,0.5,clear,9:00:00,1:30:00,28.4,0.7,clear,2013
L35,7/13/13,SH,net,2,1,20.5,0.7,clear,9:45:00,10:30:00,23.4,1.2,clear,2013
L35,7/13/13,SH,net,2,2,23.4,1.2,clear,10:45:00,12:00:00,25.5,1.5,clear,2013
L35,7/13/13,SH,net,2,3,23.9,1.5,clear,12:30:00,1:35:00,32.6,0.8,clear,2013
L35,7/13/13,SH,pan,2,,20.5,0.7,clear,9:05:00,1:40:00,32.6,0.9,clear,2013
