"EMEC","UniqueID","TempID","Order","Family","Genus","SubGenus","Species","SubSpecies","GeneralID","Sex","NetPan","Site","Year","Collector","SampleRound","Date","PanColor","PanID","NetNumber","FinalPlantSp","DateDetermined","Determiner","Author"
1040002,"YOSE-7420_EMEC_6986",6986,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040003,"YOSE-7420_EMEC_6987",6987,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040004,"YOSE-7420_EMEC_6988",6988,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040005,"YOSE-7420_EMEC_6989",6989,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040006,"YOSE-7420_EMEC_6990",6990,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040007,"YOSE-7420_EMEC_6991",6991,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040008,"YOSE-7420_EMEC_6992",6992,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040009,"YOSE-7420_EMEC_6993",6993,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040010,"YOSE-7420_EMEC_6994",6994,"Hymenoptera","Megachilidae","Osmia","Melanosmia","brevis","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040011,"YOSE-7420_EMEC_6995",6995,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040012,"YOSE-7420_EMEC_6996",6996,"Hymenoptera","Megachilidae","Osmia","Melanosmia","densa","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cresson"
1040013,"YOSE-7420_EMEC_6997",6997,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040014,"YOSE-7420_EMEC_6998",6998,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040015,"YOSE-7420_EMEC_6999",6999,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040016,"YOSE-7420_EMEC_7000",7000,"Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040017,"YOSE-7420_EMEC_7001",7001,"Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040018,"YOSE-7420_EMEC_7002",7002,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","Bee","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040019,"YOSE-7420_EMEC_7003",7003,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","Bee","m","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2013-2015","T. Griswold","Cockerell"
1040020,"YOSE-7420_EMEC_7004",7004,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2015","L. Ponisio","Linsley & MacSwain"
1040021,"YOSE-7420_EMEC_7005",7005,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2015","L. Ponisio","Linsley & MacSwain"
1040022,"YOSE-7420_EMEC_7006",7006,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2015","L. Ponisio","Linsley & MacSwain"
1040023,"YOSE-7420_EMEC_7007",7007,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2015","L. Ponisio","Linsley & MacSwain"
1040024,"YOSE-7420_EMEC_7008",7008,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis","2015","L. Ponisio","Linsley & MacSwain"
1040025,"YOSE-7420_EMEC_7009",7009,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Wyethia mollis",NA,NA,NA
1040033,"YOSE-7420_EMEC_7017",7017,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040034,"YOSE-7420_EMEC_7018",7018,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040035,"YOSE-7420_EMEC_7019",7019,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040036,"YOSE-7420_EMEC_7020",7020,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040037,"YOSE-7420_EMEC_7021",7021,"Diptera","Bombyliidae","Bombylius","","sp.","a","Fly","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser",""
1040038,"YOSE-7420_EMEC_7022",7022,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040039,"YOSE-7420_EMEC_7023",7023,"Diptera","Syrphinae","Eristalis","","hirta","","Fly","f","net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","M. Hauser","Loew"
1040040,"YOSE-7420_EMEC_7024",7024,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040041,"YOSE-7420_EMEC_7025",7025,"Coleoptera",NA,"Grammoptera","","subargentata","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus","2015","L. Ponisio","Kirby"
1040042,"YOSE-7420_EMEC_7026",7026,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
1040043,"YOSE-7420_EMEC_7027",7027,"Hymenoptera","Vespidae","Pseudomasaris","","zonalis","","Wasp","f","net","L21",2014,"LKM ",1,"6/12/14","","",1,"Monardella odoratissima ssp. pallida","2015","L.Ponisio","Cresson"
1040044,"YOSE-7420_EMEC_7028",7028,"Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","Bee","f","net","L21",2014,"LKM ",1,"6/12/14","","",1,"Monardella odoratissima ssp. pallida","2013-2015","T. Griswold","Cockerell"
1040045,"YOSE-7420_EMEC_7029",7029,"Hymenoptera","Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","Bee","f","net","L21",2014,"LKM ",1,"6/12/14","","",1,"Monardella odoratissima ssp. pallida","2013-2015","T. Griswold","Cockerell"
1040046,"YOSE-7420_EMEC_7030",7030,"Hymenoptera","Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","Bee","m","net","L21",2014,"LKM ",1,"6/12/14","","",1,"Monardella odoratissima ssp. pallida","2013-2015","T. Griswold","Cockerell"
1040047,"YOSE-7420_EMEC_7031",7031,"Hymenoptera","Megachilidae","Chelostoma","Chelostoma","minutum","","Bee","f","net","L21",2014,"LKM ",1,"6/12/14","","",1,"Monardella odoratissima ssp. pallida","2013-2015","R.W. Thorp","Crawford"
1040074,"YOSE-7420_EMEC_7058",7058,"Hymenoptera","Megachilidae","Stelis","Stelis","montana","","Bee","m","net","L21",2014,"LKM ",1,"6/12/14","","",1,"Senecio aronicoides","2013-2015","T. Griswold","Cresson"
1040109,"YOSE-7420_EMEC_7093",7093,"Coleoptera",NA,"Trichodes","","ornatus","","Beetle","","net","L21",2014,"LKM",1,"6/12/14","","",1,"Calochortus spp.","2015","L. Ponisio","Linsley & MacSwain"
1040118,"YOSE-7420_EMEC_7102",7102,NA,NA,NA,NA,NA,NA,NA,NA,"net","L21",2014,"LKM",1,"6/12/14","","",1,"Ceanothus cordulatus",NA,NA,NA
