"NetPan","Site","SampleRound","Date","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd","Collector","NetNumber","Year"
"net","L21",1,"6/26/13","9:30:00","11:00:00",15.8,22,0.4,0.4,"clear","clear","LCP",1,2013
"net","L21",1,"6/26/13","11:30:00","1:00:00",25,22,0.5,1.5,"clear","clear","LCP",2,2013
"net","L21",1,"6/26/13","11:30:00","1:00:00",25,22,0.5,1.5,"clear","clear","LCP",3,2013
"pan","L21",1,"6/26/13","9:30:00","2:00:00",15.8,25.5,0.4,0.8,"clear","clear","LCP",NA,2013
"net","L21",2,"7/13/13","9:25:00","10:48:00",21.1,24.1,1,1.7,"clear","clear","LKM",1,2013
"net","L21",2,"7/13/13","10:48:00","12:08:00",24.1,25.1,1.7,1.4,"clear","clear","LKM",2,2013
"net","L21",2,"7/13/13","12:08:00","1:30:00",25.1,30,1.4,2.7,"clear","clear","LKM",3,2013
"pan","L21",2,"7/13/13","9:20:00","1:50:00",21.1,30,1,2.7,"clear","clear","LKM",NA,2013
"net","L21",3,"7/17/13","9:40:00","11:30:00",17.8,27.2,0.6,0.6,"clear","clear","LCP",1,2013
"net","L21",3,"7/17/13","9:40:00","11:35:00",17.8,25.5,0.6,0.5,"clear","clear","HS",2,2013
"net","L21",3,"7/17/13","11:45:00","1:15:00",24.8,28.5,0.8,0.5,"clear","clear","LCP",3,2013
"pan","L21",3,"7/17/13","9:30:00","2:00:00",17.8,26.7,0.6,0.6,"clear","clear","LCP",NA,2013
"net","L21",4,"7/30/13","9:15:00","11:15:00",17,22.2,0.4,0.4,"clear","partly cloudy","LCP",1,2013
"net","L21",4,"7/30/13","9:00:00","11:30:00",17,21,0.4,0.8,"clear","partly cloudy","AJR",2,2013
"net","L21",4,"7/30/13","12:10:00","1:15:00",22.2,23.5,1.3,0.8,"partly cloudy","partly cloudy","LCP",3,2013
"pan","L21",4,"7/30/13","8:50:00","1:20:00",16,23.5,0.5,0.8,"clear","partly cloudy","LCP",NA,2013
"net","L24",1,"6/27/13","8:30:00","9:48:00",23,27.7,0,0.9,"clear","clear","LKM",1,2013
"net","L24",1,"6/27/13","9:48:00","11:21:00",22.7,26.1,0.9,2.2,"clear","clear","LKM",2,2013
