"InsectPK","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","GeneralID","Sex"
1,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","T. Griswold","Cresson","Bee","f"
2,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","T. Griswold","Cockerell","Bee","f"
3,"Hymenoptera","Megachilidae","Osmia","Melanosmia","brevis","","T. Griswold","Cresson","Bee","f"
4,"Hymenoptera","Megachilidae","Osmia","Melanosmia","densa","","T. Griswold","Cresson","Bee","f"
5,"Hymenoptera","Megachilidae","Osmia","Melanosmia","bruneri","","T. Griswold","Cockerell","Bee","f"
6,"Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","T. Griswold","Cockerell","Bee","m"
7,"Coleoptera",NA,"Trichodes","","ornatus","","L. Ponisio","Linsley & MacSwain","Beetle",""
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Diptera","Bombyliidae","Bombylius","","sp.","a","M. Hauser","","Fly",""
10,"Diptera","Syrphinae","Eristalis","","hirta","","M. Hauser","Loew","Fly","f"
11,"Coleoptera",NA,"Grammoptera","","subargentata","","L. Ponisio","Kirby","Beetle",""
12,"Hymenoptera","Vespidae","Pseudomasaris","","zonalis","","L.Ponisio","Cresson","Wasp","f"
13,"Hymenoptera","Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","T. Griswold","Cockerell","Bee","f"
14,"Hymenoptera","Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","T. Griswold","Cockerell","Bee","m"
15,"Hymenoptera","Megachilidae","Chelostoma","Chelostoma","minutum","","R.W. Thorp","Crawford","Bee","f"
16,"Hymenoptera","Megachilidae","Stelis","Stelis","montana","","T. Griswold","Cresson","Bee","m"
17,"Hymenoptera","Apidae","Apis","Apis","mellifera","","R.W. Thorp","Linnaeus","Bee","f"
18,"Hymenoptera","Andrenidae","Andrena","Andrena","edwardsi","","R.W. Thorp","Viereck","Bee","f"
19,"Hymenoptera","Andrenidae","Andrena","Trachandrena","cleodora","","R.W. Thorp","Viereck","Bee","f"
20,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","marinense","cf.","Jason Gibbs","","Bee","f"
21,"Diptera","Bombyliidae","Conophorus","","sp","a","M. Hauser","","Fly",""
22,"Diptera","Syrphinae","Eristalis","","rupium","","M. Hauser","Fabricus","Fly","m"
23,"Hymenoptera","Apidae","Bombus","Bombus","vosnesenskii","","R.W. Thorp","Radoszkowski","Bee","f"
24,"Coleoptera",NA,"Cosmosalia","","chrysocoma","","L. Ponisio","Kirby","Beetle",""
25,"Hymenoptera","Andrenidae","Andrena","Andrena","ceanothifloris","cretata","R.W. Thorp","LaBerge","Bee","f"
26,"Hymenoptera","Andrenidae","Andrena","Andrena","birtwelli","","R.W. Thorp","Cockerell","Bee","m"
27,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","albifrons","albifrons","T. Griswold","Kirby","Bee","f"
28,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","fulgida","platyura","T. Griswold","Cockerell","Bee","f"
29,"Hymenoptera","Andrenidae","Andrena","Thysandrena","knuthiana","","R.W. Thorp","Cockerell","Bee","f"
30,"Hymenoptera","Colletidae","Hylaeus","Cephalylaeus","basalis","","L. Ponisio","Smith","Bee","m"
31,"Hymenoptera","Colletidae","Hylaeus","","spp.","big","L. Ponisio","","Bee","m"
32,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","cyaneonotum","","Jason Gibbs","","Bee","f"
33,"Hymenoptera","Colletidae","Hylaeus","","spp.","big","L. Ponisio","","Bee","f"
34,"Hymenoptera","Megachilidae","Chelostoma","Chelostoma","minutum","","R.W. Thorp","Crawford","Bee","m"
35,"Diptera","Syrphinae","Myolepta","","lunulata","","M. Hauser","Bigot","Fly",""
36,"Hymenoptera","Halictidae","Lasioglossum","Lasioglossum","anhypops","","R.W. Thorp","McGinley","Bee","f"
37,"Hymenoptera","Megachilidae","Megachile","Sayapis","pugnata","pomona","T. Griswold","Cockerell","Bee","m"
38,"Hymenoptera","Halictidae","Lasioglossum","Hemihalictus","glabriventre","","Jason Gibbs","","Bee","f"
39,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","","","Bee","f"
40,"Hymenoptera","Megachilidae","Anthidium","Anthidium","mormonum","","T. Griswold","Cresson","Bee","f"
41,"Hymenoptera","Megachilidae","Osmia","Melanosmia","proxima","aff.","T. Griswold","","Bee","f"
42,"Hymenoptera","Andrenidae","Calliopsis","Nomadopsis","edwardsii","","R.W. Thorp","Cresson","Bee","m"
43,"Diptera","Bombyliidae","Anthrax","","sp","c","M. Hauser","","Fly",""
44,"Hymenoptera","Apidae","Bombus","Bombus","vosnesenskii","","R.W. Thorp","Radoszkowski","Bee","queen"
45,"Coleoptera",NA,"Pachyta","","lamed","","L. Ponisio","Linnaeus","Beetle",""
46,"Hymenoptera","Vespidae","Pseudomasaris","","zonalis","","L.Ponisio","Cresson","Wasp","m"
47,"Hymenoptera","Halictidae","Lasioglossum","Lasioglossum","mellipes","","R.W. Thorp","Crawford","Bee","f"
48,"Lepidoptera","","Boloria","","epithore","","L.Ponisio","Edwards","Lep",""
49,"Lepidoptera","","Euphilotes","","enoptes","","L.Ponisio","Boisduval","Lep","f"
50,"Lepidoptera","","Hesperia","","juba","","L.Ponisio","Scudder","Lep","m"
51,"Lepidoptera","","Celastrina","","ladon","","L.Ponisio","Cramer","Lep",""
52,"Lepidoptera","","Plebejus","","icarioides","","L.Ponisio","Boisduval","Lep",""
53,"Lepidoptera","","Thorybes","","sp.","","L.Ponisio","Scudder","Lep",""
54,"Lepidoptera","","Pyrgus","","comunis","","L.Ponisio","Grote","Lep",""
55,"Lepidoptera","","Plebejus","","saepiolus","","L.Ponisio","Boisduval","Lep","m"
56,"Hymenoptera","Megachilidae","Megachile","Sayapis","pugnata","pomona","T. Griswold","Cockerell","Bee","f"
57,"Diptera","Syrphinae","Eupeodes","Metasyrphus","snowi","","M. Hauser","Wehr","Fly","f"
58,"Diptera","Syrphinae","Eupeodes","Metasyrphus","snowi","","M. Hauser","Wehr","Fly","m"
