"EMEC","UniqueID","TempID","Collector","InsectFK","PlantFK","PanFK","ConditionsFK","GeographyFK"
1040002,"YOSE-7420_EMEC_6986",6986,"LKM",1,72,1,290,1
1040003,"YOSE-7420_EMEC_6987",6987,"LKM",1,72,1,290,1
1040004,"YOSE-7420_EMEC_6988",6988,"LKM",1,72,1,290,1
1040005,"YOSE-7420_EMEC_6989",6989,"LKM",1,72,1,290,1
1040006,"YOSE-7420_EMEC_6990",6990,"LKM",1,72,1,290,1
1040007,"YOSE-7420_EMEC_6991",6991,"LKM",1,72,1,290,1
1040008,"YOSE-7420_EMEC_6992",6992,"LKM",1,72,1,290,1
1040009,"YOSE-7420_EMEC_6993",6993,"LKM",2,72,1,290,1
1040010,"YOSE-7420_EMEC_6994",6994,"LKM",3,72,1,290,1
1040011,"YOSE-7420_EMEC_6995",6995,"LKM",2,72,1,290,1
1040012,"YOSE-7420_EMEC_6996",6996,"LKM",4,72,1,290,1
1040013,"YOSE-7420_EMEC_6997",6997,"LKM",2,72,1,290,1
1040014,"YOSE-7420_EMEC_6998",6998,"LKM",2,72,1,290,1
1040015,"YOSE-7420_EMEC_6999",6999,"LKM",2,72,1,290,1
1040016,"YOSE-7420_EMEC_7000",7000,"LKM",5,72,1,290,1
1040017,"YOSE-7420_EMEC_7001",7001,"LKM",5,72,1,290,1
1040018,"YOSE-7420_EMEC_7002",7002,"LKM",2,72,1,290,1
1040019,"YOSE-7420_EMEC_7003",7003,"LKM",2,72,1,290,1
1040020,"YOSE-7420_EMEC_7004",7004,"LKM",7,72,1,290,1
1040021,"YOSE-7420_EMEC_7005",7005,"LKM",7,72,1,290,1
1040022,"YOSE-7420_EMEC_7006",7006,"LKM",7,72,1,290,1
1040023,"YOSE-7420_EMEC_7007",7007,"LKM",7,72,1,290,1
1040024,"YOSE-7420_EMEC_7008",7008,"LKM",7,72,1,290,1
1040025,"YOSE-7420_EMEC_7009",7009,"LKM",8,72,1,290,1
1040033,"YOSE-7420_EMEC_7017",7017,"LKM",8,14,1,290,1
1040034,"YOSE-7420_EMEC_7018",7018,"LKM",8,14,1,290,1
1040035,"YOSE-7420_EMEC_7019",7019,"LKM",8,14,1,290,1
1040036,"YOSE-7420_EMEC_7020",7020,"LKM",8,14,1,290,1
1040037,"YOSE-7420_EMEC_7021",7021,"LKM",9,14,1,290,1
1040038,"YOSE-7420_EMEC_7022",7022,"LKM",8,14,1,290,1
1040039,"YOSE-7420_EMEC_7023",7023,"LKM",10,14,1,290,1
1040040,"YOSE-7420_EMEC_7024",7024,"LKM",8,14,1,290,1
1040041,"YOSE-7420_EMEC_7025",7025,"LKM",11,14,1,290,1
1040042,"YOSE-7420_EMEC_7026",7026,"LKM",8,14,1,290,1
1040043,"YOSE-7420_EMEC_7027",7027,"LKM ",12,50,1,290,1
1040044,"YOSE-7420_EMEC_7028",7028,"LKM ",5,50,1,290,1
1040045,"YOSE-7420_EMEC_7029",7029,"LKM ",13,50,1,290,1
1040046,"YOSE-7420_EMEC_7030",7030,"LKM ",13,50,1,290,1
1040047,"YOSE-7420_EMEC_7031",7031,"LKM ",15,50,1,290,1
1040074,"YOSE-7420_EMEC_7058",7058,"LKM ",16,63,1,290,1
1040109,"YOSE-7420_EMEC_7093",7093,"LKM",7,11,1,290,1
1040118,"YOSE-7420_EMEC_7102",7102,"LKM",8,14,1,290,1
1040119,"YOSE-7420_EMEC_7103",7103,"LKM",8,14,1,290,1
1040120,"YOSE-7420_EMEC_7104",7104,"LKM",2,14,1,290,1
