"EMEC","UniqueID","TempID","Collector","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","GeneralID","Sex","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies","PanColor","PanID","Site","Year","Date","SampleRound","NetNumber","NetPan","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd","Country","State","County","Park","Locality","Lat","Long","SiteStatus","FirePerim"
"1040002","YOSE-7420_EMEC_6986",6986,"LKM","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040003","YOSE-7420_EMEC_6987",6987,"LKM","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040004","YOSE-7420_EMEC_6988",6988,"LKM","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040005","YOSE-7420_EMEC_6989",6989,"LKM","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040006","YOSE-7420_EMEC_6990",6990,"LKM","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040007","YOSE-7420_EMEC_6991",6991,"LKM","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040008","YOSE-7420_EMEC_6992",6992,"LKM","Hymenoptera","Megachilidae","Osmia","Cephalosmia","montana","quadriceps","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040009","YOSE-7420_EMEC_6993",6993,"LKM","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","T. Griswold","Cockerell","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040010","YOSE-7420_EMEC_6994",6994,"LKM","Hymenoptera","Megachilidae","Osmia","Melanosmia","brevis","","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040011","YOSE-7420_EMEC_6995",6995,"LKM","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","T. Griswold","Cockerell","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040012","YOSE-7420_EMEC_6996",6996,"LKM","Hymenoptera","Megachilidae","Osmia","Melanosmia","densa","","T. Griswold","Cresson","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040013","YOSE-7420_EMEC_6997",6997,"LKM","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","T. Griswold","Cockerell","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040014","YOSE-7420_EMEC_6998",6998,"LKM","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","T. Griswold","Cockerell","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
"1040015","YOSE-7420_EMEC_6999",6999,"LKM","Hymenoptera","Megachilidae","Osmia","Melanosmia","albolateralis","","T. Griswold","Cockerell","Bee","f","Wyethia","mollis","","","","","L21",2014,"6/12/14",1,"1","net","10:05","11:30",19,"22",0.8,"1.1","clear","clear","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
