"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies"
"L21","6/26/13","full bloom",2,"Achillea","millefolium","",""
"L21","7/13/13","full bloom",2,"Achillea","millefolium","",""
"L21","7/17/13","full bloom",2,"Achillea","millefolium","",""
"L21","7/30/13","finishing bloom",2,"Achillea","millefolium","",""
"L21","6/12/14","full bloom",3,"Achillea","millefolium","",""
"L21","6/22/14","full bloom",2,"Achillea","millefolium","",""
"L21","7/3/14","full bloom",3,"Achillea","millefolium","",""
"L21","7/13/14","full bloom",3,"Achillea","millefolium","",""
"L24","6/27/13","full bloom",3,"Achillea","millefolium","",""
"L24","7/13/13","full bloom",3,"Achillea","millefolium","",""
"L24","7/18/13","full bloom",3,"Achillea","millefolium","",""
"L24","7/31/13","finishing bloom",3,"Achillea","millefolium","",""
"L24","6/13/14","beginning to bloom to bloom",3,"Achillea","millefolium","",""
"L24","6/23/14","full bloom",3,"Achillea","millefolium","",""
"L24","7/2/14","full bloom",4,"Achillea","millefolium","",""
"L24","7/13/14","full bloom",5,"Achillea","millefolium","",""
"L35","6/27/13","full bloom",3,"Achillea","millefolium","",""
"L35","7/13/13","full bloom",3,"Achillea","millefolium","",""
"L35","7/18/13","full bloom",3,"Achillea","millefolium","",""
"L35","7/29/13","finishing bloom",2,"Achillea","millefolium","",""
"L35","6/12/14","full bloom",1,"Achillea","millefolium","",""
"L35","6/22/14","full bloom",1,"Achillea","millefolium","",""
"L35","7/3/14","finishing bloom",1,"Achillea","millefolium","",""
"L35","7/13/14","finishing bloom",2,"Achillea","millefolium","",""
"N134","7/8/13","full bloom",2,"Achillea","millefolium","",""
"N134","7/11/13","full bloom",2,"Achillea","millefolium","",""
"N134","7/22/13","full bloom",2,"Achillea","millefolium","",""
"N134","7/25/13","full bloom",2,"Achillea","millefolium","",""
"N134","6/17/14","not blooming",2,"Achillea","millefolium","",""
"N134","7/6/14","full bloom",1,"Achillea","millefolium","",""
"N134","7/9/14","full bloom",3,"Achillea","millefolium","",""
"N134","7/17/14","not blooming",0,"Achillea","millefolium","",""
"N135","6/18/14","beginning to bloom to bloom",1,"Achillea","millefolium","",""
"N135","7/6/14","beginning to bloom to bloom",3,"Achillea","millefolium","",""
"N135","7/19/14","not blooming",1,"Achillea","millefolium","",""
"N135","7/19/14","full bloom",1,"Achillea","millefolium","",""
"N137","7/9/13","full bloom",3,"Achillea","millefolium","",""
"N137","7/12/13","full bloom",3,"Achillea","millefolium","",""
"N137","7/24/13","finishing bloom",2,"Achillea","millefolium","",""
"N137","7/26/13","finishing bloom",2,"Achillea","millefolium","",""
"N137","7/7/14","full bloom",3,"Achillea","millefolium","",""
"N137","7/10/14","full bloom",2,"Achillea","millefolium","",""
"N137","7/19/14","full bloom",2,"Achillea","millefolium","",""
"P310","6/29/13","full bloom",2,"Achillea","millefolium","",""
"P310","7/13/13","full bloom",2,"Achillea","millefolium","",""
"P310","7/17/13","full bloom",2,"Achillea","millefolium","",""
"P310","7/31/13","full bloom",1,"Achillea","millefolium","",""
"P310","6/12/14","not blooming",0,"Achillea","millefolium","",""
"P310","6/24/14","not blooming",0,"Achillea","millefolium","",""
"P310","7/1/14","finishing bloom",1,"Achillea","millefolium","",""
"P310","7/13/14","finishing bloom",1,"Achillea","millefolium","",""
"P33","6/27/13","full bloom",2,"Achillea","millefolium","",""
"P33","7/13/13","full bloom",2,"Achillea","millefolium","",""
"P33","7/18/13","full bloom",2,"Achillea","millefolium","",""
"P33","7/29/13","full bloom",2,"Achillea","millefolium","",""
"P33","6/12/14","not blooming",0,"Achillea","millefolium","",""
"P33","6/22/14","not blooming",0,"Achillea","millefolium","",""
"P33","7/2/14","not blooming",0,"Achillea","millefolium","",""
"P33","7/13/14","not blooming",0,"Achillea","millefolium","",""
"P37","6/28/13","full bloom",2,"Achillea","millefolium","",""
"P37","7/13/13","finishing bloom",2,"Achillea","millefolium","",""
"P37","7/19/13","finishing bloom",2,"Achillea","millefolium","",""
"P37","7/30/13","finishing bloom",2,"Achillea","millefolium","",""
"P37","6/13/14","not blooming",0,"Achillea","millefolium","",""
"P37","6/24/14","full bloom",2,"Achillea","millefolium","",""
"P37","7/1/14","full bloom",1,"Achillea","millefolium","",""
"P37","7/13/14","",0,"Achillea","millefolium","",""
"W04","6/30/13","not blooming",0,"Achillea","millefolium","",""
"W04","7/14/13","full bloom",2,"Achillea","millefolium","",""
"W04","7/20/13","full bloom",2,"Achillea","millefolium","",""
"W04","8/1/13","full bloom",2,"Achillea","millefolium","",""
"W04","6/14/14","not blooming",0,"Achillea","millefolium","",""
"W04","6/25/14","not blooming",0,"Achillea","millefolium","",""
"W04","7/4/14","not blooming",0,"Achillea","millefolium","",""
"W04","7/14/14","not blooming",0,"Achillea","millefolium","",""
"N136","7/9/13","full bloom",3,"Aconitum","columbianum","",""
"N136","7/12/13","full bloom",3,"Aconitum","columbianum","",""
"N136","7/24/13","finishing bloom",3,"Aconitum","columbianum","",""
"N136","7/26/13","finishing bloom",3,"Aconitum","columbianum","",""
"N136","6/17/14","beginning to bloom to bloom",2,"Aconitum","columbianum","",""
"N136","7/7/14","full bloom",3,"Aconitum","columbianum","",""
"N136","7/10/14","full bloom",4,"Aconitum","columbianum","",""
"N136","7/17/14","full bloom",3,"Aconitum","columbianum","",""
"L21","6/12/14","not blooming",0,"Agoseris","grandiflora","",""
"L21","6/22/14","not blooming",0,"Agoseris","grandiflora","",""
"L21","7/3/14","finishing bloom",1,"Agoseris","grandiflora","",""
"L21","7/13/14","not blooming",0,"Agoseris","grandiflora","",""
"N131","6/30/13","full bloom",2,"Apocynum","androsaemifolium","",""
"N131","7/14/13","full bloom",3,"Apocynum","androsaemifolium","",""
"N131","7/20/13","full bloom",3,"Apocynum","androsaemifolium","",""
"N131","8/1/13","finishing bloom",3,"Apocynum","androsaemifolium","",""
"N131","6/14/14","not blooming",0,"Apocynum","androsaemifolium","",""
