Genus,Subgenus,Species,Subspecies,Sex,GenSp
Agapostemon,(Agapostemon),angelicus,,m,Agapostemon angelicus 
Agapostemon,(Agapostemon),texanus,,m,Agapostemon texanus 
Andrena,(Anchandrena),quercina,,m,Andrena quercina 
Andrena,(Andrena),birtwelli,,m,Andrena birtwelli 
Andrena,(Andrena),ceanothifloris,cretata,m,Andrena ceanothifloris cretata
Andrena,(Andrena),edwardsi,,m,Andrena edwardsi 
Andrena,(Andrena),frigida,,m,Andrena frigida 
Andrena,(Andrena),hemileuca,,m,Andrena hemileuca 
Andrena,(Andrena),mesoleuca,,m,Andrena mesoleuca 
Andrena,(Andrena),monoensis,,m,Andrena monoensis 
Andrena,(Andrena),monogonoparia,,m,Andrena monogonoparia 
Andrena,(Andrena),prolixa,,m,Andrena prolixa 
Andrena,(Andrena),thaspii,,m,Andrena thaspii 
Andrena,(Andrena),vicinoides,,m,Andrena vicinoides 
Andrena,(Andrena),washingtoni,,m,Andrena washingtoni 
Andrena,(Cnemidandrena),columbiana,,m,Andrena columbiana 
Andrena,(Cnemidandrena),scutellinitens,,m,Andrena scutellinitens 
Andrena,(Cnemidandrena),surda,,m,Andrena surda 
Andrena,(Dasyandrena),cristata,,m,Andrena cristata 
Andrena,(Dasyandrena),obscuripostica,,m,Andrena obscuripostica 
Andrena,(Derandrena),arctostaphylae,,m,Andrena arctostaphylae 
Andrena,(Derandrena),vandykei,,m,Andrena vandykei 
Andrena,(Diandrena),chalybaea,,m,Andrena chalybaea 
Andrena,(Diandrena),chalybioides,,m,Andrena chalybioides 
Andrena,(Diandrena),chlorosoma,,m,Andrena chlorosoma 
Andrena,(Diandrena),lewisorum,,m,Andrena lewisorum 
Andrena,(Diandrena),nothocalaidis,,m,Andrena nothocalaidis 
Andrena,(Diandrena),subapasta,,m,Andrena subapasta 
Andrena,(Erandrena),principalis,,m,Andrena principalis 
Andrena,(Euandrena),astragali,,m,Andrena astragali 
Andrena,(Euandrena),auricoma,,m,Andrena auricoma 
Andrena,(Euandrena),caerulea,,m,Andrena caerulea 
Andrena,(Euandrena),chlorura,,m,Andrena chlorura 
Andrena,(Euandrena),hamulata,,m,Andrena hamulata 
Andrena,(Euandrena),nigrihirta,,m,Andrena nigrihirta 
Andrena,(Euandrena),nigrocaerulea,,m,Andrena nigrocaerulea 
Andrena,(Euandrena),ribblei,,m,Andrena ribblei 
Andrena,(Geissandrena),trevoris,,m,Andrena trevoris 
Andrena,(Hesperandrena),pulverea,,m,Andrena pulverea 
Andrena,(Holandrena),cressonii,infasciata,m,Andrena cressonii infasciata
Andrena,(Larandrena),miserabilis,,m,Andrena miserabilis 
