Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector
L21,6/26/2013,Calochortus spp.,Calochortus spp.,FINISHING,3,LCP
L21,7/13/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,LKM
L21,7/17/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,LCP
L21,7/30/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,LCP
L21,6/26/2013,CEACOR,Ceanothus cordulatus,FULL,2,LCP
L21,7/13/2013,CEACOR,Ceanothus cordulatus,NOT BLOOMING,0,LKM
L21,7/17/2013,CEACOR,Ceanothus cordulatus,NOT BLOOMING,0,LCP
L21,7/30/2013,CEACOR,Ceanothus cordulatus,NOT BLOOMING,0,LCP
L21,6/26/2013,Delphinium sp.,Delphinium sp.,FULL,1,LCP
L21,7/13/2013,Delphinium sp.,Delphinium sp.,NOT BLOOMING,0,LKM
L21,7/17/2013,Delphinium sp.,Delphinium sp.,NOT BLOOMING,0,LCP
L21,7/30/2013,Delphinium sp.,Delphinium sp.,NOT BLOOMING,0,LCP
L21,6/26/2013,ACHMIL,Achillea millefolium,FULL,2,LCP
L21,7/13/2013,ACHMIL,Achillea millefolium,FULL,2,LKM
L21,7/17/2013,ACHMIL,Achillea millefolium,FULL,2,LCP
L21,7/30/2013,ACHMIL,Achillea millefolium,FINISHING,2,LCP
L21,6/26/2013,ARNNEV,Arnica nevadensis,FULL,1,LCP
L21,7/13/2013,ARNNEV,Arnica nevadensis,FINISHING,1,LCP
L21,7/17/2013,ARNNEV,Arnica nevadensis,FINISHING,1,LKM
L21,7/30/2013,ARNNEV,Arnica nevadensis,FINISHING,1,LCP
L21,6/26/2013,ASTINT,Aster integrifolius,BEGINNING,1,LCP
L21,7/13/2013,ASTINT,Aster integrifolius,FULL,3,LKM
L21,7/17/2013,ASTINT,Aster integrifolius,FULL,3,LCP
L21,7/30/2013,ASTINT,Aster integrifolius,FINISHING,3,LCP
L21,6/26/2013,CASAPP,Castilleja applegatei ssp. disticha,FULL,2,LCP
L21,7/13/2013,CASAPP,Castilleja applegatei ssp. disticha,FULL,2,LKM
L21,7/17/2013,CASAPP,Castilleja applegatei ssp. disticha,FULL,2,LCP
L21,7/30/2013,CASAPP,Castilleja applegatei ssp. disticha,FINISHING,1,LCP
L21,6/26/2013,CHADOU,Chaenactis douglasii var. douglasii,FULL,1,LCP
L21,7/13/2013,CHADOU,Chaenactis douglasii var. douglasii,FULL,1,LCP
L21,7/17/2013,CHADOU,Chaenactis douglasii var. douglasii,FULL,1,LKM
L21,7/30/2013,CHADOU,Chaenactis douglasii var. douglasii,FINISHING,1,LCP
L21,6/26/2013,CIRAND,Cirsium andersonii,NOT BLOOMING,0,LCP
L21,7/13/2013,CIRAND,Cirsium andersonii,BEGINNING,1,LKM
L21,7/17/2013,CIRAND,Cirsium andersonii,BEGINNING,2,LCP
L21,7/30/2013,CIRAND,Cirsium andersonii,FINISHING,2,LCP
L21,6/26/2013,COLGRA,Collomia grandiflora,BEGINNING,1,LCP
L21,7/13/2013,COLGRA,Collomia grandiflora,FULL,2,LKM
L21,7/17/2013,COLGRA,Collomia grandiflora,FINISHING,2,LCP
L21,7/30/2013,COLGRA,Collomia grandiflora,FINISHING,1,LCP
L21,6/26/2013,ERIBRE,Erigeron brewerii var. brewerii,BEGINNING,2,LCP
L21,7/13/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,3,LKM
L21,7/17/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,2,LCP
L21,7/30/2013,ERIBRE,Erigeron brewerii var. brewerii,FINISHING,1,LCP
L21,6/26/2013,ERINUD,Eriogonum nudum var.nudum,BEGINNING,1,LCP
L21,7/13/2013,ERINUD,Eriogonum nudum var.nudum,FULL,5,LKM
L21,7/17/2013,ERINUD,Eriogonum nudum var.nudum,FULL,5,LCP
L21,7/30/2013,ERINUD,Eriogonum nudum var.nudum,FINISHING,5,LCP
L21,6/26/2013,GAYDIF,Gayophytum diffusum ,FULL,3,LCP
L21,7/13/2013,GAYDIF,Gayophytum diffusum ,FULL,3,LKM
L21,7/17/2013,GAYDIF,Gayophytum diffusum ,FULL,3,LCP
L21,7/30/2013,GAYDIF,Gayophytum diffusum ,FINISHING,3,LCP
L21,6/26/2013,HYPRAD,Hypochaeris radicata,FULL,1,LCP
L21,7/13/2013,HYPRAD,Hypochaeris radicata,FULL,1,LKM
L21,7/17/2013,HYPRAD,Hypochaeris radicata,FULL,1,LCP
L21,7/30/2013,HYPRAD,Hypochaeris radicata,FINISHING,1,LCP
L21,6/26/2013,LUPFUL,Lupinus fulcratus,FULL,2,LCP
L21,7/13/2013,LUPFUL,Lupinus fulcratus,FULL,2,LKM
L21,7/17/2013,LUPFUL,Lupinus fulcratus,FINISHING,2,LCP
L21,7/30/2013,LUPFUL,Lupinus fulcratus,FINISHING,1,LCP
L21,6/26/2013,LUPLAT,Lupinus latifolius var.columbianus,FULL,1,LCP
L21,7/13/2013,LUPLAT,Lupinus latifolius var.columbianus,FINISHING,1,LKM
L21,7/17/2013,LUPLAT,Lupinus latifolius var.columbianus,FINISHING,1,LCP
L21,7/30/2013,LUPLAT,Lupinus latifolius var.columbianus,FINISHING,1,LCP
L21,6/26/2013,MADGRA,Madia gracilis,BEGINNING,2,LCP
L21,7/13/2013,MADGRA,Madia gracilis,FULL,4,LKM
