Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector,SampleRound,Year
L21,6/26/13,ACHMIL,Achillea millefolium,full,2,LCP,1,2013
L21,7/13/13,ACHMIL,Achillea millefolium,full,2,LKM,2,2013
L21,7/17/13,ACHMIL,Achillea millefolium,full,2,LCP,3,2013
L21,7/30/13,ACHMIL,Achillea millefolium,finishing,2,LCP,4,2013
L21,6/12/14,ACHMIL,Achillea millefolium,full bloom,3,LKM,1,2014
L21,6/22/14,ACHMIL,Achillea millefolium,full bloom,2,LCP/EK,2,2014
L21,7/3/14,ACHMIL,Achillea millefolium,full bloom,3,KD,3,2014
L21,7/13/14,ACHMIL,Achillea millefolium,full bloom,3,KC,4,2014
L24,6/27/13,ACHMIL,Achillea millefolium,full,3,LKM,1,2013
L24,7/13/13,ACHMIL,Achillea millefolium,full,3,SB,2,2013
L24,7/18/13,ACHMIL,Achillea millefolium,full,3,LCP,3,2013
L24,7/31/13,ACHMIL,Achillea millefolium,finishing,3,LCP,4,2013
L24,6/13/14,ACHMIL,Achillea millefolium,beginning to bloom to bloom,3,LKM,1,2014
L24,6/23/14,ACHMIL,Achillea millefolium,full bloom,3,LCP/EK,2,2014
L24,7/2/14,ACHMIL,Achillea millefolium,full bloom,4,MV/KD,3,2014
L24,7/13/14,ACHMIL,Achillea millefolium,full bloom,5,LTC,4,2014
L35,6/27/13,ACHMIL,Achillea millefolium,full,3,LCP,1,2013
L35,7/13/13,ACHMIL,Achillea millefolium,full,3,SH,2,2013
L35,7/18/13,ACHMIL,Achillea millefolium,full,3,CRP,3,2013
L35,7/29/13,ACHMIL,Achillea millefolium,finishing,2,LCP,4,2013
L35,6/12/14,ACHMIL,Achillea millefolium,full bloom,1,LTC,1,2014
L35,6/22/14,ACHMIL,Achillea millefolium,full bloom,1,KK,2,2014
L35,7/3/14,ACHMIL,Achillea millefolium,finishing bloom,1,MV,3,2014
L35,7/13/14,ACHMIL,Achillea millefolium,finishing bloom,2,LCP,4,2014
N134,7/8/13,ACHMIL,Achillea millefolium,full,2,LCP,1,2013
N134,7/11/13,ACHMIL,Achillea millefolium,full,2,CRP,2,2013
N134,7/22/13,ACHMIL,Achillea millefolium,full,2,GH,3,2013
N134,7/25/13,ACHMIL,Achillea millefolium,full,2,CRP,4,2013
N134,6/17/14,ACHMIL,Achillea millefolium,not blooming,2,JPS,1,2014
N134,7/6/14,ACHMIL,Achillea millefolium,full bloom,1,LCP,2,2014
N134,7/9/14,ACHMIL,Achillea millefolium,full bloom,3,KK,3,2014
N134,7/17/14,ACHMIL,Achillea millefolium,not blooming,0,LCP,4,2014
N135,6/18/14,ACHMIL,Achillea millefolium,beginning to bloom to bloom,1,LTC,1,2014
N135,7/6/14,ACHMIL,Achillea millefolium,beginning to bloom to bloom,3,KK,2,2014
N135,7/19/14,ACHMIL,Achillea millefolium,not blooming,1,LCP,3,2014
N135,7/19/14,ACHMIL,Achillea millefolium,full bloom,1,LCP,4,2014
N137,7/9/13,ACHMIL,Achillea millefolium,full,3,CRP,1,2013
N137,7/12/13,ACHMIL,Achillea millefolium,full,3,GH,2,2013
N137,7/24/13,ACHMIL,Achillea millefolium,finishing,2,LCP,3,2013
N137,7/26/13,ACHMIL,Achillea millefolium,finishing,2,CRP,4,2013
N137,7/7/14,ACHMIL,Achillea millefolium,full bloom,3,,1,2014
N137,7/7/14,ACHMIL,Achillea millefolium,full bloom,3,LTC,2,2014
N137,7/10/14,ACHMIL,Achillea millefolium,full bloom,2,LTC,3,2014
N137,7/19/14,ACHMIL,Achillea millefolium,full bloom,2,LTC,4,2014
P310,6/29/13,ACHMIL,Achillea millefolium,full,2,LCP,1,2013
P310,7/13/13,ACHMIL,Achillea millefolium,full,2,BES,2,2013
P310,7/17/13,ACHMIL,Achillea millefolium,full,2,CRP,3,2013
P310,7/31/13,ACHMIL,Achillea millefolium,full,1,GH,4,2013
P310,6/12/14,ACHMIL,Achillea millefolium,not blooming,0,LCP,1,2014
P310,6/24/14,ACHMIL,Achillea millefolium,not blooming,0,LCP,2,2014
P310,7/1/14,ACHMIL,Achillea millefolium,finishing bloom,1,KK,3,2014
P310,7/13/14,ACHMIL,Achillea millefolium,finishing bloom,1,CV,4,2014
P33,6/27/13,ACHMIL,Achillea millefolium,full,2,CRP,1,2013
P33,7/13/13,ACHMIL,Achillea millefolium,full,2,RW,2,2013
P33,7/18/13,ACHMIL,Achillea millefolium,full,2,GH,3,2013
P33,7/29/13,ACHMIL,Achillea millefolium,full,2,CRP,4,2013
P33,6/12/14,ACHMIL,Achillea millefolium,not blooming,0,AJR,1,2014
P33,6/22/14,ACHMIL,Achillea millefolium,not blooming,0,LTC,2,2014
P33,7/2/14,ACHMIL,Achillea millefolium,not blooming,0,LCP,3,2014
P33,7/13/14,ACHMIL,Achillea millefolium,not blooming,0,LMH,4,2014
P37,6/28/13,ACHMIL,Achillea millefolium,full,2,CRP,1,2013
P37,7/13/13,ACHMIL,Achillea millefolium,finishing,2,LCP,2,2013
P37,7/19/13,ACHMIL,Achillea millefolium,finishing,2,GH,3,2013
P37,7/30/13,ACHMIL,Achillea millefolium,finishing,2,GH,4,2013
P37,6/13/14,ACHMIL,Achillea millefolium,not blooming,0,LTC/JPS,1,2014
P37,6/24/14,ACHMIL,Achillea millefolium,full bloom,2,KK,2,2014
P37,7/1/14,ACHMIL,Achillea millefolium,full bloom,1,LCP,3,2014
P37,7/13/14,ACHMIL,Achillea millefolium,,0,LKM,4,2014
W04,6/30/13,ACHMIL,Achillea millefolium,not blooming,0,CRP,1,2013
W04,7/14/13,ACHMIL,Achillea millefolium,full,2,LCP,2,2013
W04,7/20/13,ACHMIL,Achillea millefolium,full,2,GH,3,2013
W04,8/1/13,ACHMIL,Achillea millefolium,full,2,GH,4,2013
W04,6/14/14,ACHMIL,Achillea millefolium,not blooming,0,JPS/LTC,1,2014
W04,6/25/14,ACHMIL,Achillea millefolium,not blooming,0,LCP,2,2014
W04,7/4/14,ACHMIL,Achillea millefolium,not blooming,0,LCP,3,2014
W04,7/14/14,ACHMIL,Achillea millefolium,not blooming,0,LTC,4,2014
N136,7/9/13,ACOCOL,Aconitum columbianum,full,3,GH,1,2013
N136,7/12/13,ACOCOL,Aconitum columbianum,full,3,LCP,2,2013
N136,7/24/13,ACOCOL,Aconitum columbianum,finishing,3,CRP,3,2013
N136,7/26/13,ACOCOL,Aconitum columbianum,finishing,3,LCP,4,2013
N136,6/17/14,ACOCOL,Aconitum columbianum,beginning to bloom to bloom,2,LTC,1,2014
N136,7/7/14,ACOCOL,Aconitum columbianum,full bloom,3,LCP,2,2014
N136,7/10/14,ACOCOL,Aconitum columbianum,full bloom,4,KK,3,2014
N136,7/17/14,ACOCOL,Aconitum columbianum,full bloom,3,LTC,4,2014
L21,6/12/14,AGOGRA,Agoseris grandiflora,not blooming,0,LKM,1,2014
L21,6/22/14,AGOGRA,Agoseris grandiflora,not blooming,0,LCP/EK,2,2014
L21,7/3/14,AGOGRA,Agoseris grandiflora,finishing bloom,1,KD,3,2014
L21,7/13/14,AGOGRA,Agoseris grandiflora,not blooming,0,KC,4,2014
L24,6/13/14,AGORET,Agoseris retrorsa,full bloom,1,LKM,1,2014
L24,6/23/14,AGORET,Agoseris retrorsa,not blooming,0,LCP/EK,2,2014
L24,7/2/14,AGORET,Agoseris retrorsa,not blooming,0,MV/KD,3,2014
L24,7/13/14,AGORET,Agoseris retrorsa,not blooming,0,LTC,4,2014
N132,6/14/14,ALLCAM,Allium campanulatum,full bloom,1,AJR,1,2014
N132,6/25/14,ALLCAM,Allium campanulatum,not blooming,0,LTC,2,2014
N132,7/4/14,ALLCAM,Allium campanulatum,not blooming,0,KK,3,2014
N132,7/14/14,ALLCAM,Allium campanulatum,not blooming,0,LCP,4,2014
N131,6/30/13,APOAND,Apocynum androsaemifolium,full,2,CK,1,2013
N131,7/14/13,APOAND,Apocynum androsaemifolium,full,3,CRP,2,2013
N131,7/20/13,APOAND,Apocynum androsaemifolium,full,3,LCP,3,2013
N131,8/1/13,APOAND,Apocynum androsaemifolium,finishing,3,CRP,4,2013
N131,6/14/14,APOAND,Apocynum androsaemifolium,not blooming,0,LCP,1,2014
N131,6/25/14,APOAND,Apocynum androsaemifolium,beginning to bloom to bloom,2,KK,2,2014
N131,7/4/14,APOAND,Apocynum androsaemifolium,full bloom,3,MV/KD,3,2014
N131,7/14/14,APOAND,Apocynum androsaemifolium,full bloom,4,KK,4,2014
N133,7/8/13,APOAND,Apocynum androsaemifolium,full,5,CRP,1,2013
N133,7/11/13,APOAND,Apocynum androsaemifolium,full,5,GH,2,2013
N133,7/23/13,APOAND,Apocynum androsaemifolium,finishing,4,LCP,3,2013
N133,7/25/13,APOAND,Apocynum androsaemifolium,finishing,4,GH,4,2013
N133,6/18/14,APOAND,Apocynum androsaemifolium,beginning to bloom to bloom,2,LCP/KAK,1,2014
N133,7/7/14,APOAND,Apocynum androsaemifolium,full bloom,4,KK,2,2014
N133,7/10/14,APOAND,Apocynum androsaemifolium,full bloom,3,LCP,3,2014
N133,7/18/14,APOAND,Apocynum androsaemifolium,full bloom,2,LTC,4,2014
N135,7/8/13,APOAND,Apocynum androsaemifolium,beginning to bloom,2,GH,1,2013
N135,7/11/13,APOAND,Apocynum androsaemifolium,beginning to bloom,2,LCP,2,2013
N135,7/22/13,APOAND,Apocynum androsaemifolium,finishing,1,CRP,3,2013
N135,7/25/13,APOAND,Apocynum androsaemifolium,finishing,1,LCP,4,2013
N135,6/18/14,APOAND,Apocynum androsaemifolium,not blooming,0,LTC,1,2014
N135,7/6/14,APOAND,Apocynum androsaemifolium,full bloom,5,KK,2,2014
