Site,Date,Collector,NetPan,SampleRound,NetNumber,StartTemp,StartWind,StartSky,StartTime,EndTime,EndTemp,EndWind,EndSky
L21,6/26/13,LCP,net,1,1.1,15.8,0.4,clear,9:30:00,11:00:00,22,0.4,clear
L21,6/26/13,LCP,net,1,1.2,25,0.5,clear,11:30:00,1:00:00,22,1.5,clear
L21,6/26/13,LCP,net,1,1.3,25,0.5,clear,11:30:00,1:00:00,22,1.5,clear
L21,7/13/13,LKM,net,2,2.1,21.1,1,clear,9:25:00,10:48:00,24.1,1.7,clear
L21,7/13/13,LKM,net,2,2.2,24.1,1.7,clear,10:48:00,12:08:00,25.1,1.4,clear
L21,7/13/13,LKM,net,2,2.3,25.1,1.4,clear,12:08:00,1:30:00,30,2.7,clear
L21,7/17/13,LCP,net,3,3.1,17.8,0.6,clear,9:40:00,11:30:00,27.2,0.6,clear
L21,7/17/13,HS,net,3,3.2,17.8,0.6,clear,9:40:00,11:35:00,25.5,0.5,clear
L21,7/17/13,LCP,net,3,3.3,24.8,0.8,clear,11:45:00,1:15:00,28.5,0.5,clear
L21,7/30/13,LCP,net,4,4.1,17,0.4,clear,9:15:00,11:15:00,22.2,0.4,partly cloudy
L21,7/30/13,AJR,net,4,4.2,17,0.4,clear,9:00:00,11:30:00,21,0.8,partly cloudy
L21,7/30/13,LCP,net,4,4.3,22.2,1.3,partly cloudy,12:10:00,1:15:00,23.5,0.8,partly cloudy
L24,6/27/13,LKM,net,1,1.1,23,0,clear,8:30:00,9:48:00,27.7,0.9,clear
L24,6/27/13,LKM,net,1,1.2,22.7,0.9,clear,9:48:00,11:21:00,26.1,2.2,clear
L24,6/27/13,LKM,net,1,1.3,26.1,2.2,clear,11:21:00,12:48:00,28.1,3.2,clear
L24,7/13/13,SB,net,2,2.1,20.8,0.3,clear,9:12:00,10:25:00,21.7,1.1,clear
L24,7/13/13,SB,net,2,2.2,21.9,0.6,clear,10:35:00,11:45:00,22,1.3,clear
L24,7/13/13,SB,net,2,2.3,22.7,0.8,clear,12:15:00,1:14:00,26.4,1.2,partly cloudy
L24,7/18/13,LCP,net,3,3.1,17.1,0.3,clear,8:53:00,10:25:00,22.4,0.7,clear
L24,7/18/13,HS,net,3,3.2,17.1,0.3,clear,8:55:00,10:35:00,22.8,0.9,clear
L24,7/18/13,LCP,net,3,3.3,22.8,0.9,clear,10:40:00,11:45:00,26.1,0.8,clear
L24,7/31/13,LCP,net,4,4.1,16.4,0,clear,8:50:00,10:15:00,22.2,0.8,clear
L24,7/31/13,AJR,net,4,4.2,16.4,0,clear,8:50:00,10:20:00,22.2,0.8,clear
L24,7/31/13,LCP,net,4,4.3,23.3,1.4,clear,10:50:00,11:50:00,24.4,1.4,clear
L33,6/29/13,CRP,net,1,1.1,18.9,0.3,clear,8:10:00,8:56:00,23.4,0.4,clear
L33,6/29/13,CRP,net,1,1.2,23.5,0.6,clear,9:00:00,9:40:00,24.2,0.6,clear
L33,6/29/13,CRP,net,1,1.3,24.6,0.4,clear,9:45:00,10:30:00,25.8,0.9,clear
L33,7/13/13,GH,net,2,2.1,20.7,0.4,clear,9:09:00,9:48:00,20.9,0.4,clear
L33,7/13/13,GH,net,2,2.2,23.2,0.3,clear,10:07:00,10:43:00,27.4,0.5,clear
L33,7/13/13,GH,net,2,2.3,26.3,0.3,clear,11:10:00,11:45:00,30.6,0.3,clear
L33,7/19/13,LCP,net,3,3.1,23.3,0,clear,8:50:00,9:45:00,26.3,0.6,clear
L33,7/19/13,LCP,net,3,3.2,26.6,0.6,clear,9:45:00,10:45:00,30,0.9,clear
L33,7/19/13,LCP,net,3,3.3,30,0.9,clear,11:05:00,12:10:00,30.5,1.1,clear
L33,7/31/13,CRP,net,4,4.1,15,0,clear,8:15:00,8:55:00,21.3,0.8,clear
L33,7/31/13,CRP,net,4,4.2,21.3,0.7,clear,9:00:00,9:40:00,22.5,0.5,clear
L33,7/31/13,CRP,net,4,4.3,22.7,0.8,clear,9:50:00,10:30:00,23,1,clear
L35,6/27/13,LCP,net,1,1.1,17.5,0.5,clear,8:00:00,9:45:00,28.5,0.4,clear
L35,6/27/13,LCP,net,1,1.2,28.5,0.4,clear,9:50:00,10:30:00,28.5,0.5,clear
L35,6/27/13,LCP,net,1,1.3,27.4,0.5,clear,10:30:00,11:30:00,28.5,0.6,clear
L35,7/13/13,SH,net,2,2.1,20.5,0.7,clear,9:45:00,10:30:00,23.4,1.2,clear
L35,7/13/13,SH,net,2,2.2,23.4,1.2,clear,10:45:00,12:00:00,25.5,1.5,clear
L35,7/13/13,SH,net,2,2.3,23.9,1.5,clear,12:30:00,1:35:00,32.6,0.8,clear
L35,7/18/13,CRP,net,3,3.1,22.3,0,clear,8:45:00,9:45:00,22.8,0.6,clear
L35,7/18/13,CRP,net,3,3.2,22.8,0.6,clear,9:45:00,10:30:00,23.3,1.2,clear
L35,7/18/13,CRP,net,3,3.3,23.5,1.5,clear,10:40:00,11:25:00,24,2,clear
L35,7/29/13,LCP,net,4,4.1,20.1,0.3,clear,8:40:00,10:00:00,23.5,0.6,clear
L35,7/29/13,AJR,net,4,4.2,20.1,0.3,clear,8:40:00,10:30:00,23.3,0.9,partly cloudy
L35,7/29/13,LCP,net,4,4.3,23.3,0.9,partly cloudy,10:30:00,11:15:00,22.4,1.1,partly cloudy
N131,6/30/13,CK,net,1,1.1,26,1.1,clear,10:42:00,12:06:00,27.6,0.5,clear
N131,6/30/13,CK,net,1,1.2,27.6,1.3,clear,12:36:00,1:24:00,29.8,1.4,clear
N131,6/30/13,CK,net,1,1.3,30.8,1.1,clear,1:36:00,2:40:00,30.5,0.5,clear
N131,7/14/13,CRP,net,2,2.1,20,0.4,clear,8:45:00,1:15:00,27.2,1,clear
N131,7/14/13,CRP,net,2,2.2,22.8,0.9,clear,9:55:00,10:45:00,23,0.8,clear
N131,7/14/13,CRP,net,2,2.3,24,0.8,clear,11:10:00,12:10:00,27,2,clear
N131,7/20/13,LCP,net,3,3.1,22.6,0.5,clear,9:05:00,10:15:00,27.7,0.7,clear
